시군명,농장명,축종명,상세구분,사육두수(마리),소재지우편번호,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,데이터기준일자,비고
고양시,배영농장,닭,육계,24000,10228,,경기도 고양시 일산서구 덕이동 산179-10,37.7012047000,126.7366582000,20181206,
고양시,법곳농장,닭,육계,50000,10220,경기도 고양시 일산서구 송포로113번길 191-41,경기도 고양시 일산서구 법곳동 748-7번지,37.6682416000,126.7224608000,20181206,
고양시,별샘농장,닭,육계,300,10389,,경기도 고양시 일산서구 법곳동 192번지 3호,37.6644100000,126.7290487000,20181206,
고양시,부근농장,닭,육계,25000,10299,경기도 고양시 일산동구 사리현로 96,경기도 고양시 일산동구 식사동 산 12번지 3호,37.6886837000,126.8298394000,20181206,
고양시,부자농장,닭,육계,12,10276,경기도 고양시 덕양구 서리골길124번길 19-53,경기도 고양시 덕양구 선유동 102번지,37.6935986000,126.9158050000,20181206,
고양시,산너머농장,닭,산란계,100,10329,경기도 고양시 일산동구 중산로 306-142,경기도 고양시 일산동구 성석동 1294-1번지,37.6986540000,126.7893137000,20181206,
고양시,삼승축산,닭,육계,25000,10208,경기도 고양시 일산서구 가좌로140번길 29,경기도 고양시 일산서구 가좌동 951번지,37.6853219000,126.7141660000,20181206,
고양시,삼학농장,닭,육계,25000,10205,경기도 고양시 일산서구 덕산로195번길 112,경기도 고양시 일산서구 가좌동 545-1번지,37.6992612000,126.7222193000,20181206,
고양시,새터마을,닭,육계,20,10276,경기도 고양시 덕양구 선유길 100,경기도 고양시 덕양구 선유동 336-2번지,37.6796898000,126.9068658000,20181206,
고양시,서산농장,닭,산란계,25000,10253,경기도 고양시 일산동구 장진천길 75-26,경기도 고양시 일산동구 설문동 1067번지,37.7146816000,126.8099543000,20181206,
고양시,서울농원,닭,육계,700,10437,경기도 고양시 덕양구 양곡1길 121-39,경기도 고양시 덕양구 행주외동 290번지,37.6117214000,126.8113758000,20181206,
고양시,서울농장,닭,산란계,20000,10299,경기도 고양시 일산동구 사리현로 96,경기도 고양시 일산동구 식사동 산12-3번지,37.6886837000,126.8298394000,20181206,
고양시,선유동 동물농장,오리,,600,10276,경기도 고양시 덕양구 선유길 38,경기도 고양시 덕양구 선유동 478번지,37.6798283000,126.9000867000,20181206,
고양시,세계농원,닭,산란계,500,10262,,경기도 고양시 덕양구 내유동 826번지 3호,37.7257363000,126.8397351000,20181206,
고양시,수연농원,닭,육계,14000,10208,경기도 고양시 일산서구 가좌로140번길 35,경기도 고양시 일산서구 가좌동 952-4번지,37.6849338000,126.7138840000,20181206,
고양시,수진농장,닭,육계,400,10262,경기도 고양시 덕양구 통일로 937-47,경기도 고양시 덕양구 관산동 847-43번지,37.6992140000,126.8549194000,20181206,
고양시,승희네농장,닭,산란계,100,10454,,경기도 고양시 덕양구 주교동 1031번지 5호,37.6532437000,126.8205161000,20181206,
고양시,신농축산,오리,,2000,10299,경기도 고양시 일산동구 사리현로 96,경기도 고양시 일산동구 식사동 산12-3번지,37.6886837000,126.8298394000,20181206,
고양시,신선농장,닭,육계,23000,10245,경기도 고양시 일산동구 고봉로 679-36,경기도 고양시 일산동구 성석동 1797번지,37.7185979000,126.7874871000,20181206,
고양시,신일농장,닭,산란계,20000,10313,경기도 고양시 일산동구 성현로268번길 68-32,경기도 고양시 일산동구 성석동 61-4번지,37.7021510000,126.8110640000,20181206,
고양시,알프스농장,닭,육계,25000,10220,경기도 고양시 일산서구 법곳길 200-85,경기도 고양시 일산서구 법곳동 1584-1번지,37.6686023000,126.7188325000,20181206,
고양시,에스에프영농조합법인,닭,산란계,100000,10454,경기도 고양시 덕양구 대주로492번길 14,경기도 고양시 덕양구 주교동 1073번지,37.6567729000,126.8247345000,20181206,
고양시,영진농장,닭,산란계,1000,10208,경기도 고양시 일산서구 가좌로140번길 39,경기도 고양시 일산서구 가좌동 952-3번지,37.6848790000,126.7135782000,20181206,
고양시,옥자농장,닭,육계,15,10276,,경기도 고양시 덕양구 선유동 109번지,37.6934360000,126.9151929000,20181206,
고양시,우리농장,닭,육계,25,10397,경기도 고양시 일산동구 멱절길 324-92,경기도 고양시 일산동구 장항동 659-3번지,37.6518516000,126.7539681000,20181206,
고양시,원당농원,닭,육계,300,10455,,경기도 고양시 덕양구 화정동 806번지 1호,37.6418532000,126.8249514000,20181206,
고양시,원당농장,닭,육계,25,10290,경기도 고양시 덕양구 공양왕길 56,경기도 고양시 덕양구 원당동 934번지,37.6755215000,126.8432570000,20181206,
고양시,원일농장,닭,육계,150,10261,,경기도 고양시 일산동구 사리현동 150번지,37.6944053000,126.8497814000,20181206,
고양시,유나네자연숲농장,닭,산란계,500,10260,경기도 고양시 일산동구 공릉천로71번길 5,경기도 고양시 일산동구 사리현동 885번지,37.6993180000,126.8447595000,20181206,
고양시,유학농장,닭,육계,90,10453,경기도 고양시 일산동구 고일로 301-8,경기도 고양시 일산동구 산황동 771번지 1호,37.6481079000,126.8036792000,20181206,
고양시,인호농원,닭,육계,700,10455,경기도 고양시 덕양구 호국로 551-28,경기도 고양시 덕양구 화정동 810-1번지,37.6381304000,126.8237594000,20181206,
고양시,일웅농장,닭,육계,1200,10437,경기도 고양시 덕양구 양곡1길 121-43,경기도 고양시 덕양구 행주외동 292번지,37.6113878000,126.8112407000,20181206,
고양시,임씨농장,닭,육계,40000,10487,경기도 고양시 덕양구 도내로14번길 21-2,경기도 고양시 덕양구 도내동 890-2번지,37.6230292000,126.8486479000,20181206,
고양시,장수축산,닭,산란계,15000,10229,경기도 고양시 일산서구 미래로 276-7,경기도 고양시 일산서구 덕이동 646-1번지,37.7033726000,126.7473550000,20181206,
고양시,장원농장,닭,육계,2500,10439,경기도 고양시 덕양구 행신로 41,경기도 고양시 덕양구 행주내동 653-1번지,37.6141078000,126.8220728000,20181206,
고양시,장항양계,닭,산란계,25000,10399,경기도 고양시 일산동구 장항로 360-75,경기도 고양시 일산동구 장항동 517-2번지,37.6498282000,126.7645131000,20181206,
고양시,전우농장,닭,육계,90,10488,경기도 고양시 덕양구 서정로65번길 21,경기도 고양시 덕양구 도내동 790-9번지,37.6207480000,126.8543162000,20181206,
고양시,전일양계장,닭,육계,30000,10203,경기도 고양시 일산서구 법곳길 200-10,경기도 고양시 일산서구 법곳동 1602번지,37.6652937000,126.7179610000,20181206,
고양시,전주농장,닭,육계,1100,10439,경기도 고양시 덕양구 얼음들길 39-13,경기도 고양시 덕양구 행주내동 678번지,37.6141061000,126.8209289000,20181206,
고양시,정석농원,닭,육계,150,10207,경기도 고양시 일산서구 구산로54번길 172-8,경기도 고양시 일산서구 구산동 1090번지,37.6878166000,126.7101316000,20181206,
고양시,준농장,닭,산란계,200,10256,경기도 고양시 일산동구 지영로148번길 39,경기도 고양시 일산동구 지영동 735-1번지,37.7125700000,126.8250093000,20181206,
고양시,지축농장,닭,육계,300,10584,,경기도 고양시 덕양구 지축동 산 88번지 6호,37.6490243000,126.9235624000,20181206,
고양시,청솔농장,닭,산란계,200,10425,경기도 고양시 일산서구 멱절길 45,경기도 고양시 일산서구 법곳동 267-6번지,37.6592084000,126.7277759000,20181206,
고양시,청송,닭,육계,25000,10208,경기도 고양시 일산서구 가좌로140번길 29,경기도 고양시 일산서구 가좌동 951번지,37.6853219000,126.7141660000,20181206,
고양시,청원농장,오리,,7000,10299,경기도 고양시 일산동구 사리현로 96,경기도 고양시 일산동구 식사동 산12-3번지,37.6886837000,126.8298394000,20181206,
고양시,초원종장,닭,육계,40000,10289,,경기도 고양시 일산동구 사리현동 580번지,37.6875736000,126.8347623000,20181206,
고양시,토담농장,닭,산란계,80,10453,경기도 고양시 일산동구 고일로242번길 47,경기도 고양시 일산동구 산황동 693번지 3호,37.6521843000,126.8007107000,20181206,
고양시,푸른농장,닭,산란계,25000,10203,경기도 고양시 일산서구 법곳길 306-54,경기도 고양시 일산서구 법곳동 1317-2번지,37.6714334000,126.7086318000,20181206,
고양시,풍동농장,닭,산란계,350,10300,경기도 고양시 일산동구 백마로502번길 89-11,경기도 고양시 일산동구 풍동 1012번지,37.6587124000,126.8037075000,20181206,
고양시,풍동농장,닭,산란계,40,10309,경기도 고양시 일산동구 풍산로 129,경기도 고양시 일산동구 풍동 1190-2번지,37.6622971000,126.7926479000,20181206,
고양시,풍성농장,닭,육계,30000,10259,경기도 고양시 일산동구 성현로482번길 26-65,경기도 고양시 일산동구 사리현동 627번지,37.6946014000,126.8349846000,20181206,
고양시,형남농장,닭,육계,20000,10259,경기도 고양시 일산동구 사리현로 129,경기도 고양시 일산동구 사리현동 611,37.6911572000,126.8332350000,20181206,
고양시,황금 투 농장,닭,육계,200,10554,,경기도 고양시 덕양구 도내동 224번지 4호,37.6191888000,126.8689195000,20181206,
고양시,황금농장,오리,,20000,10554,경기도 고양시 덕양구 흥도로70번길 117-40,경기도 고양시 덕양구 도내동 224-3번지,37.6190271000,126.8693389000,20181206,
고양시,효성농장,닭,육계,1000,10262,경기도 고양시 덕양구 통일로 915-98,경기도 고양시 덕양구 관산동 847-89번지,37.6984894000,126.8518707000,20181206,
고양시,흙사랑농장,닭,육계,45,10397,,경기도 고양시 일산동구 장항동 634번지 59호,37.6539058000,126.7497117000,20181206,
과천시,농장1,닭,산란계,450,13825,,경기도 과천시 문원동 501,37.4136756000,126.9970712000,20181130,
과천시,농장10,닭,산란계,8,13813,경기도 과천시 무네미길 36,경기도 과천시 과천동 443,37.4520072000,126.9988427000,20181130,
과천시,농장11,닭,산란계,13,13821,,경기도 과천시 과천동 139-22,37.4474776000,127.0083613000,20181130,
과천시,농장12,닭,산란계,80,,,경기도 과천시 과천동 233-10,37.4459587000,127.0054995000,20181130,
과천시,농장13,닭,산란계,270,13820,,경기도 과천시 주암동 343-2,37.4521913000,127.0228915000,20181130,
과천시,농장14,닭,산란계,20,13820,경기도 과천시 말두레로 173-4,경기도 과천시 주암동 385-1,37.4517601000,127.0202185000,20181130,
과천시,농장15,닭,산란계,75,13820,,경기도 과천시 주암동 386,37.4512849000,127.0199568000,20181130,
과천시,농장16,닭,산란계,24,13819,,경기도 과천시 주암동 59,37.4439761000,127.0122352000,20181130,
과천시,농장17,닭,산란계,30,13820,경기도 과천시 물사랑로 184-30,경기도 과천시 주암동 212-1,37.4551534000,127.0259883000,20181130,
과천시,농장18,닭,산란계,5,,,경기도 과천시 주암동 산5-2,37.4562134000,127.0359200000,20181130,
과천시,농장19,닭,산란계,12,13820,경기도 과천시 원주암길 32,경기도 과천시 주암동 104번지,37.4566711000,127.0329336000,20181130,
과천시,농장2,"닭, 오리",산란계,65,13828,,경기도 과천시 문원동 50,37.4207834000,126.9969911000,20181130,
과천시,농장20,닭,산란계,8,13820,경기도 과천시 죽바위로 17,경기도 과천시 주암동 167-4,37.4549747000,127.0303264000,20181130,
과천시,농장21,닭,산란계,10,13820,,경기도 과천시 주암동 산17,37.4538061000,127.0307744000,20181130,
과천시,농장22,닭,산란계,150,13820,,경기도 과천시 주암동 341-1,37.4514410000,127.0229284000,20181130,
과천시,농장23,닭,산란계,50,13820,경기도 과천시 삼부골2로 12-75,경기도 과천시 주암동 479,37.4441014000,127.0211207000,20181130,
과천시,농장24,닭,산란계,9,13813,경기도 과천시 양지마을로 8,경기도 과천시 과천동 538-12,37.4485726000,126.9953657000,20181130,
과천시,농장25,"닭, 오리",산란계,4,13821,경기도 과천시 광창로 24,경기도 과천시 과천동 139-13,37.4480159000,127.0081926000,20181130,
과천시,농장26,"닭, 오리",산란계,14,13815,,경기도 과천시 과천동 329-2,37.4438913000,126.9985214000,20181130,
과천시,농장27,닭,산란계,15,13813,,경기도 과천시 과천동 475,37.4513933000,126.9944600000,20181130,
과천시,농장28,닭,산란계,15,13840,경기도 과천시 가일1로 5,경기도 과천시 갈현동 423-1,37.4169073000,126.9782955000,20181130,
과천시,농장3,닭,산란계,3,13825,,경기도 과천시 문원동 937-6,37.4124574000,126.9963329000,20181130,
과천시,농장4,닭,산란계,17,13825,,경기도 과천시 문원동 938-2,37.4125614000,126.9969053000,20181130,
과천시,농장5,오리,산란계,2,13827,경기도 과천시 윗배랭이길 8,경기도 과천시 문원동 180,37.4257188000,127.0057820000,20181130,
과천시,농장6,닭,산란계,7,13826,,경기도 과천시 문원동 214,37.4247827000,127.0000210000,20181130,
