시군명,농장명,상세구분,소재지우편번호,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,사육두수(마리)
김포시,신미농장,육계,10055,경기도 김포시 양촌읍 김포한강4로278번길 103-20,경기도 김포시 양촌읍 석모리 146번지,126.6518594000,37.6562950000,30000
김포시,써니농장,산란계,10030,경기도 김포시 통진읍 율마로275번길 200,경기도 김포시 통진읍 가현리 162번지 3호,126.5885350000,37.6724331000,22000
김포시,안골농원,산란계,10002,,경기도 김포시 월곶면 조강리 107번지 109호,126.5649417000,37.7446765000,6000
김포시,약산농장,산란계,10042,,경기도 김포시 대곶면 약암리 47번지 1호,126.5682543000,37.6242666000,10000
김포시,약산농장,산란계,,,경기도 김포시 대곶면 약암리 산 47번지 1호,126.5566548000,37.6148263000,12000
김포시,약산농장,육계,10042,경기도 김포시 대곶면 대곶서로89번길 131,경기도 김포시 대곶면 약암리 262번지 1호,126.5690045000,37.6355225000,20000
김포시,약산동해농장,산란계,,,경기도 김포시 대곶면 약암리 산 47번지 1호,126.5566548000,37.6148263000,12000
김포시,양지농장,산란계,10030,경기도 김포시 통진읍 가현로85번길 68,경기도 김포시 통진읍 가현리 668번지 3호,126.5854179000,37.6744583000,12000
김포시,연주농장,육계,10047,,경기도 김포시 양촌읍 학운리 815번지 1호,126.6010873000,37.6231847000,2500
김포시,영경농장,산란계,10124,,경기도 김포시 고촌읍 신곡리 183번지 3호,126.7846605000,37.6032779000,4
김포시,영창농장,육계,10042,,경기도 김포시 대곶면 대벽리 185번지,126.5788122000,37.6341256000,20000
김포시,영철농장,육계,,,경기도 김포시 양촌읍 구래리 652번지 1호,126.6385808000,37.6324963000,25000
김포시,옥화농장,산란계,10005,,경기도 김포시 하성면 마조리 209번지 17호,126.6357194000,37.7510897000,20
김포시,용농장,육계,10095,,경기도 김포시 고촌읍 향산리 906번지 1호,126.7348591000,37.6213300000,0
김포시,우리집토종닭,육계,,,경기도 김포시 하성면 석탄리 491번지 32호,126.6320813000,37.7252300000,300
김포시,우일농장,육계,10010,경기도 김포시 통진읍 월하로 488,경기도 김포시 통진읍 귀전리 464번지 1호,126.6100625000,37.7106173000,30000
김포시,우정농장,산란계,,,경기도 김포시 대곶면 석정리 산 44번지,126.5732114000,37.6820636000,18000
김포시,운호농장,육계,,,경기도 김포시 양촌읍 누산리 1089번지 75호,126.6612197000,37.6712065000,80000
김포시,원기농장,산란계,10042,,경기도 김포시 대곶면 약암리 930번지,126.5769223000,37.6198835000,25000
김포시,유성농장,산란계,10028,경기도 김포시 대곶면 대곶북로 367-46,경기도 김포시 대곶면 석정리 46번지 2호,126.5736464000,37.6754341000,32000
김포시,은상농장,산란계,10037,경기도 김포시 대곶면 율마로256번길 146-10,경기도 김포시 대곶면 거물대리 77번지,126.6035304000,37.6704306000,70000
김포시,은혜농장,산란계,,,경기도 김포시 통진읍 가현리 산 50번지 3호,126.5843893000,37.6820137000,9000
김포시,이범주농장,육계,10047,경기도 김포시 양촌읍 유현삭시로 25-35,경기도 김포시 양촌읍 학운리 876번지,126.6049451000,37.6219635000,15000
김포시,이원행 농장,육계,10047,,경기도 김포시 양촌읍 학운리 399번지,126.6030093000,37.6259933000,28000
김포시,인집농장,산란계,10006,,경기도 김포시 하성면 시암리 453번지 2호,126.6390035000,37.7616950000,100
김포시,인천농장,육계,10002,,경기도 김포시 월곶면 조강리 79번지,126.5865082000,37.7490611000,7000
김포시,인하 농장,산란계,10030,경기도 김포시 통진읍 가현로85번길 107,경기도 김포시 통진읍 가현리 620번지,126.5860947000,37.6770734000,14000
김포시,일진농장,산란계,10030,경기도 김포시 통진읍 가현로230번길 76,경기도 김포시 통진읍 가현리 324번지,126.5963339000,37.6785687000,2000
김포시,장락농장,산란계,10026,,경기도 김포시 대곶면 쇄암리 447번지,126.5498148000,37.6706239000,24000
김포시,정윤농장,육계,10052,경기도 김포시 양촌읍 양곡로130번길 143,경기도 김포시 양촌읍 누산리 1036번지 158호,126.6532825000,37.6718229000,24000
김포시,젖가락이 행복한 농장,산란계,10042,경기도 김포시 대곶면 대곶서로 190-28,경기도 김포시 대곶면 대벽리 174번지 1호,126.5790317000,37.6353787000,100
김포시,종복농장,산란계,10133,경기도 김포시 고촌읍 당산길 557-56,경기도 김포시 고촌읍 신곡리 710번지 4호,126.7727396000,37.5910561000,400
김포시,종훈농장,산란계,,,경기도 김포시 통진읍 옹정리 산 58번지,126.5780315000,37.6876399000,10000
김포시,좋아좋아 토종닭 농장,육계,10006,,경기도 김포시 하성면 시암리 218번지,126.6365873000,37.7706970000,300
김포시,주일농장,산란계,,,경기도 김포시 양촌읍 학운리 산 20번지,126.6180860000,37.6151056000,12000
김포시,준희농장,산란계,10030,,경기도 김포시 통진읍 가현리 622번지 3호,126.5867054000,37.6773188000,14500
김포시,천풍농장,산란계,10050,,경기도 김포시 대곶면 대벽리 1039번지,126.5683158000,37.6175997000,12000
