축산업 사업장 명칭,주사육업종,사업장소재지
민주농장,육계,전라남도 장흥군 용산면 계산리 415번지 1호  
,육계,전라남도 장흥군 장흥읍 우산리 141번지  
한들농장,육계,전라남도 장흥군 대덕읍 신월리 1084번지 1호  
,육계,전라남도 장흥군 용산면 월송리 546번지  
한일농장,육계,"전라남도 장흥군 용산면 상금리 262번지 7호 , 262-18 "
,육계,전라남도 장흥군 용산면 계산리 415번지 9호  
,육계,전라남도 장흥군 장동면 하산리 85번지 1호  
,육계,전라남도 장흥군 관산읍 죽청리 269번지 4호  
수락양계장,육계,전라남도 장흥군 안양면 수락리 50번지 7호  
사안농장,육계,"전라남도 장흥군 장흥읍 사안리 104, 105-1, 106, 189-1, 190, 433-5, 433-7번지 "
,육계,전라남도 장흥군 용산면 상발리 693번지  
감나무재관광농원,육계,전라남도 장흥군 장동면 하산리 11번지  
수목농장,육계,전라남도 장흥군 장동면 반산리 9번지 2호  
거산농장,육계,"전라남도 장흥군 장평면 축내리 686-1, 686-2번지 "
,육계,전라남도 장흥군 안양면 모령리 623번지 3호  
,육계,전라남도 장흥군 장흥읍 평화리 35번지 4호 외 1필지 
삼화농장,육계,전라남도 장흥군 회진면 회진리 1443번지 2호  
나평농장,육계,전라남도 장흥군 장평면 기동리  
프란체스코농장,육계,전라남도 장흥군 유치면 신풍리 10번지  
여의동농장,육계,전라남도 장흥군 장평면 등촌리 297번지  
대덕농장,육계,전라남도 장흥군 대덕읍 신월리 1084번지 5호  
현규농장,육계,전라남도 장흥군 대덕읍 잠두리 645번지 7호  
계현농장,육계,"전라남도 장흥군 용산면 상금리 262번지 7호 , 18 "
금강농장,육계,전라남도 장흥군 장흥읍 사안리 411번지  
장흥 장강 농장,육계,전라남도 장흥군 장흥읍 사안리 450번지  
,육계,전라남도 장흥군 장흥읍 성불리 344번지 1호  
마장골,육우,전라남도 장흥군 회진면 회진리 1331번지 2호  
태경농장,육우,전라남도 장흥군 장평면 봉림리 30번지 1호  
진우농장,육우,전라남도 장흥군 회진면 신상리 1139번지 5호  
