축산업 사업장 명칭,주사육업종,사업장소재지
,한우,전라남도 장흥군 안양면 당암리 산 46번지 17호  
태건,한우,전라남도 장흥군 용산면 접정리 310번지 6호  
,한우,전라남도 장흥군 용산면 인암리 81번지 1호  
,한우,전라남도 장흥군 대덕읍 도청리 659번지  
,한우,전라남도 장흥군 대덕읍 도청리 609번지 1호  
,한우,전라남도 장흥군 대덕읍 연지리 558번지 5호  
,한우,전라남도 장흥군 대덕읍 잠두리 267번지  
,한우,전라남도 장흥군 대덕읍 신월리 883번지  
,한우,전라남도 장흥군 장흥읍 성불리 76번지 1호  
,한우,전라남도 장흥군 대덕읍 연지리 362번지 2호  
,한우,전라남도 장흥군 안양면 해창리 252번지  
,한우,전라남도 장흥군 안양면 해창리 252번지 5호  
,한우,전라남도 장흥군 대덕읍 잠두리 305번지 1호  
,한우,전라남도 장흥군 관산읍 남송리 631번지 6호  
,한우,전라남도 장흥군 관산읍 외동리 31번지  
,한우,전라남도 장흥군 관산읍 외동리 671번지 1호  
,한우,전라남도 장흥군 장평면 병동리 685번지 1호  
,한우,전라남도 장흥군 장평면 양촌리 164번지 24호  
,한우,전라남도 장흥군 장평면 봉림리 245번지  
,한우,전라남도 장흥군 관산읍 고마리 793번지 1호  
,한우,전라남도 장흥군 관산읍 삼산리 492번지 3호  
,한우,전라남도 장흥군 관산읍 죽청리 47번지 1호  
,한우,전라남도 장흥군 관산읍 죽청리 141번지  
,한우,전라남도 장흥군 관산읍 죽청리 46번지  
,한우,"전라남도 장흥군 관산읍 죽청리 640-1, 640-2번지 "
,한우,전라남도 장흥군 관산읍 옥당리 230번지 2호  
대평축사,한우,전라남도 장흥군 관산읍 송촌리 503번지  
,한우,전라남도 장흥군 관산읍 삼산리 1571번지  
,한우,전라남도 장흥군 용산면 접정리 34번지 12호  
,한우,전라남도 장흥군 관산읍 용전리 100번지  
,한우,전라남도 장흥군 관산읍 죽청리 309번지 11호  
,한우,전라남도 장흥군 대덕읍 잠두리 41번지  
박**,한우,전라남도 장흥군 대덕읍 도청리 520번지  
남가네 농장,한우,전라남도 장흥군 대덕읍 연정리 457번지 1호  
,한우,전라남도 장흥군 안양면 사촌리 412번지 11호  
동훈농장,한우,"전라남도 장흥군 안양면 해창리 520, 521-1번지 "
삼산농장,한우,전라남도 장흥군 관산읍 삼산리 686번지 33호  
,한우,전라남도 장흥군 관산읍 죽교리 50번지 1호  
,한우,전라남도 장흥군 대덕읍 연지리 558번지 3호  
,한우,전라남도 장흥군 관산읍 외동리 544번지  
,한우,전라남도 장흥군 장평면 축내리 508번지  
,한우,전라남도 장흥군 안양면 당암리 502번지  
,한우,전라남도 장흥군 관산읍 성산리 98번지  
,한우,전라남도 장흥군 관산읍 죽청리 171번지  
,한우,전라남도 장흥군 대덕읍 분토리 180번지 7호  
,한우,전라남도 장흥군 관산읍 고마리 943번지 1호  
,한우,전라남도 장흥군 안양면 지천리 168번지  
,한우,전라남도 장흥군 관산읍 외동리 8739번지 9호  
,한우,전라남도 장흥군 대덕읍 도청리 175번지  
정남진농장,한우,전라남도 장흥군 대덕읍 연지리 1428번지 1호  
,한우,전라남도 장흥군 대덕읍 도청리 256번지 3호  
,한우,전라남도 장흥군 회진면 신상리 141번지  
청송농장,한우,전라남도 장흥군 관산읍 고마리 955번지 1호  
,한우,전라남도 장흥군 대덕읍 도청리 398번지 6호  
최**농장,한우,전라남도 장흥군 부산면 구룡리 720번지 5호  
,한우,전라남도 장흥군 부산면 구룡리 661번지 1호  
,한우,전라남도 장흥군 부산면 구룡리 산 102번지 3호  
최**,한우,전라남도 장흥군 대덕읍 도청리 35번지 1호  
,한우,전라남도 장흥군 회진면 덕산리 825번지  
,한우,전라남도 장흥군 관산읍 삼산리 1번지 23호  
,한우,전라남도 장흥군 관산읍 삼산리 1-5번지 
,한우,전라남도 장흥군 관산읍 지정리 2번지 5호  
,한우,전라남도 장흥군 관산읍 지정리 160번지 2호  
,한우,전라남도 장흥군 관산읍 삼산리 151번지 1호  
,한우,전라남도 장흥군 관산읍 방촌리 514번지  
,한우,전라남도 장흥군 관산읍 삼산리 64번지 1호  
,한우,전라남도 장흥군 관산읍 삼산리 169번지 1호  
,한우,전라남도 장흥군 관산읍 외동리 92번지  
,한우,전라남도 장흥군 관산읍 신동리 235번지 1호  
,한우,전라남도 장흥군 관산읍 신동리 488번지 1호  
,한우,전라남도 장흥군 관산읍 신동리 526번지  
,한우,전라남도 장흥군 관산읍 삼산리 355번지 1호  
,한우,전라남도 장흥군 관산읍 신동리 419번지  
,한우,전라남도 장흥군 관산읍 신동리 326번지 1호  
,한우,전라남도 장흥군 관산읍 신동리 285번지  
,한우,전라남도 장흥군 관산읍 신동리 447번지  
,한우,전라남도 장흥군 회진면 회진리 501번지  
,한우,전라남도 장흥군 장평면 청용리 306번지 8호  
,한우,전라남도 장흥군 회진면 신상리 319번지  
,한우,전라남도 장흥군 회진면 덕산리 446번지  
,한우,전라남도 장흥군 장흥읍 금산리 183번지 1호  
,한우,"전라남도 장흥군 대덕읍 신리 79번지 , 1165-2번지 "
,한우,전라남도 장흥군 대덕읍 연지리 813번지 26호  
,한우,전라남도 장흥군 대덕읍 도청리 295번지 1호  
,한우,전라남도 장흥군 대덕읍 가학리 628번지  
,한우,전라남도 장흥군 대덕읍 연지리 62번지 8호  
서**,한우,전라남도 장흥군 대덕읍 연정리 1170번지 7호  
창훈목장,한우,전라남도 장흥군 관산읍 외동리 56번지 외 1필지 
,한우,전라남도 장흥군 대덕읍 신월리 555번지 1호  
,한우,전라남도 장흥군 유치면 대리 1038번지 2호  
,한우,전라남도 장흥군 대덕읍 신월리 447번지 1호  
,한우,전라남도 장흥군 유치면 반월리 514번지 1호  
,한우,전라남도 장흥군 안양면 학송리 310번지 1호  
,한우,전라남도 장흥군 관산읍 외동리 668번지 9호  
장수삼일농장,한우,전라남도 장흥군 안양면 학송리 507번지 6호  
,한우,전라남도 장흥군 대덕읍 신월리 185번지 2호  
,한우,전라남도 장흥군 용산면 풍길리 41번지  
,한우,전라남도 장흥군 관산읍 용전리 330번지 10호  
,한우,전라남도 장흥군 관산읍 신동리 340번지 4호  
,한우,전라남도 장흥군 관산읍 신동리 428번지 1호  
,한우,전라남도 장흥군 용산면 상금리 313번지 7호  
,한우,전라남도 장흥군 관산읍 고마리 945번지  
,한우,전라남도 장흥군 용산면 인암리 28번지 1호  
,한우,전라남도 장흥군 부산면 구룡리 823번지 2호  
,한우,전라남도 장흥군 부산면 구룡리 727번지 2호  
,한우,전라남도 장흥군 관산읍 송촌리 406번지 3호  
,한우,전라남도 장흥군 관산읍 송촌리 200번지  
,한우,전라남도 장흥군 관산읍 신동리 367번지  
,한우,전라남도 장흥군 관산읍 신동리 395번지  
,한우,전라남도 장흥군 관산읍 신동리 358번지  
우애농장,한우,전라남도 장흥군 부산면 용반리 57번지  
,한우,전라남도 장흥군 대덕읍 도청리 43번지 2호  
,한우,전라남도 장흥군 대덕읍 잠두리 339번지  
,한우,전라남도 장흥군 대덕읍 신월리 390번지 6호  
신**,한우,전라남도 장흥군 대덕읍 연지리 56번지 34호  
홍장농장,한우,전라남도 장흥군 대덕읍 연지리 1358번지 1호  
,한우,전라남도 장흥군 대덕읍 신월리 30번지  
,한우,전라남도 장흥군 대덕읍 가학리 583번지  
,한우,전라남도 장흥군 대덕읍 신월리 481번지 1호  
,한우,전라남도 장흥군 안양면 기산리 555번지 1호  
,한우,전라남도 장흥군 대덕읍 연지리 553번지 22호  
,한우,전라남도 장흥군 용산면 어산리 576번지  
,한우,전라남도 장흥군 대덕읍 연지리 38번지  
,한우,전라남도 장흥군 관산읍 외동리 995번지 4호  
,한우,전라남도 장흥군 용산면 계산리 412번지 3호  
,한우,전라남도 장흥군 대덕읍 연지리 210번지  
,한우,전라남도 장흥군 용산면 월송리 76번지  
석수농장,한우,전라남도 장흥군 장평면 우산리 735번지 1호  
,한우,전라남도 장흥군 장평면 병동리 44번지  
,한우,"전라남도 장흥군 장평면 내동리 627번지 4호 , 627-3, 627-2번지 "
,한우,전라남도 장흥군 장평면 우산리 646번지  
,한우,"전라남도 장흥군 장평면 기동리 285번지 2호 , 285-4, 285-5번지 "
용숙농장,한우,전라남도 장흥군 장평면 기동리 967번지 8호  
해전축산,한우,"전라남도 장흥군 용산면 어산리 231-1, 231-4번지 "
,한우,전라남도 장흥군 관산읍 하발리 941번지 1호  
,한우,전라남도 장흥군 용산면 인암리 84번지 3호  
,한우,전라남도 장흥군 용산면 어산리 582번지  
청전농장,한우,전라남도 장흥군 용산면 인암리 405번지 4호  
,한우,전라남도 장흥군 유치면 봉덕리 68번지 3호  
,한우,전라남도 장흥군 유치면 조양리 1013번지  
동양,한우,전라남도 장흥군 용산면 계산리 415번지 4호  
,한우,전라남도 장흥군 장평면 용강리 105번지 4호  
,한우,전라남도 장흥군 장평면 등촌리 16번지 4호  
,한우,전라남도 장흥군 장평면 제산리 311번지 8호  
,한우,전라남도 장흥군 장평면 병동리 617번지  
이**,한우,전라남도 장흥군 장평면 봉림리 57번지  
,한우,전라남도 장흥군 장평면 병동리 304번지 1호  
,한우,전라남도 장흥군 유치면 관동리 99번지  
용문축산,한우,전라남도 장흥군 장흥읍 금산리 810번지 
,한우,전라남도 장흥군 용산면 인암리 479번지 10호  
,한우,전라남도 장흥군 용산면 인암리 663번지 9호  
,한우,전라남도 장흥군 관산읍 신동리 660번지 4호  
,한우,전라남도 장흥군 부산면 내안리 663번지 1호  
,한우,전라남도 장흥군 유치면 봉덕리 214번지 1호  
,한우,전라남도 장흥군 유치면 봉덕리 97번지  
,한우,전라남도 장흥군 유치면 봉덕리 200번지  
박**,한우,전라남도 장흥군 관산읍 용전리 395번지  
,한우,전라남도 장흥군 유치면 관동리 67번지 1호  
,한우,전라남도 장흥군 장평면 봉림리 286번지  
자작골 축산,한우,전라남도 장흥군 장평면 용강리 323번지 1호  
,한우,전라남도 장흥군 용산면 인암리 80번지 1호  
,한우,전라남도 장흥군 용산면 풍길리 163번지  
,한우,전라남도 장흥군 유치면 봉덕리 150번지 1호  
,한우,전라남도 장흥군 용산면 운주리 255번지 1호  
,한우,전라남도 장흥군 대덕읍 분토리 211번지  
미중농장,한우,전라남도 장흥군 용산면 어산리 677번지 1호  
,한우,전라남도 장흥군 안양면 기산리 750번지 2호  
,한우,전라남도 장흥군 용산면 금곡리 35번지 2호  
,한우,전라남도 장흥군 용산면 인암리 90번지  
,한우,전라남도 장흥군 용산면 모산리 178번지  
석한농장,한우,전라남도 장흥군 부산면 금자리 1019번지 외 2필지 
,한우,"전라남도 장흥군 대덕읍 가학리 1124번지 6호 , 1124-7번지 "
,한우,전라남도 장흥군 대덕읍 연정리 51번지  
,한우,전라남도 장흥군 장동면 봉동리 477번지  
,한우,전라남도 장흥군 대덕읍 연지리 860번지  
,한우,전라남도 장흥군 용산면 인암리 427번지  
,한우,전라남도 장흥군 용산면 인암리 448번지  
태성농장,한우,전라남도 장흥군 용산면 풍길리 447번지 6호  
,한우,전라남도 장흥군 용산면 풍길리  
,한우,전라남도 장흥군 용산면 운주리 689번지  
,한우,전라남도 장흥군 용산면 상금리 206번지  
,한우,전라남도 장흥군 용산면 녹원리 144번지 16호  
,한우,전라남도 장흥군 대덕읍 연정리 978번지  
,한우,전라남도 장흥군 용산면 인암리 113번지  
,한우,전라남도 장흥군 장흥읍 금산리 169번지 2호  
,한우,전라남도 장흥군 관산읍 신동리 511번지 5호  
,한우,전라남도 장흥군 관산읍 고마리 206번지 5호  
,한우,전라남도 장흥군 관산읍 부평리 271번지  
,한우,전라남도 장흥군 관산읍 지정리 273번지 1호  
,한우,전라남도 장흥군 용산면 인암리 91번지  
,한우,전라남도 장흥군 대덕읍 도청리 364번지 2호  
,한우,전라남도 장흥군 관산읍 신동리 483번지 1호  
,한우,전라남도 장흥군 관산읍 신동리 446번지 2호  
,한우,전라남도 장흥군 관산읍 삼산리 1679번지 1호 외 1필지 
석렬농장,한우,"전라남도 장흥군 대덕읍 가학리 1163번지 11호 , 1163-13, 1172-1번지 "
정종농장,한우,전라남도 장흥군 대덕읍 도청리 459번지 1호  
,한우,전라남도 장흥군 대덕읍 신리 825번지  
,한우,전라남도 장흥군 안양면 학송리 66번지 5호  
,한우,전라남도 장흥군 장평면 등촌리 264번지 5호  
상촌농장,한우,전라남도 장흥군 유치면 조양리 236번지  
위진농장,한우,"전라남도 장흥군 관산읍 방촌리 224, 215-3번지 "
,한우,전라남도 장흥군 관산읍 삼산리 70번지 1호  
,한우,전라남도 장흥군 관산읍 삼산리 1744번지 3호  
,한우,전라남도 장흥군 관산읍 삼산리 749번지 2호  
,한우,전라남도 장흥군 회진면 회진리 489번지 3호  
,한우,전라남도 장흥군 관산읍 고마리 960번지 11호  
북실농장,한우,전라남도 장흥군 회진면 회진리 646번지  
진곡축산,한우,전라남도 장흥군 장동면 봉동리 175번지 5호  
,한우,전라남도 장흥군 유치면 반월리 526번지 21호  
,한우,전라남도 장흥군 관산읍 신동리 181번지 3호  
성우축산,한우,전라남도 장흥군 관산읍 고마리 960번지 11호 외1필지 
,한우,전라남도 장흥군 장흥읍 행원리 279번지  
,한우,전라남도 장흥군 관산읍 죽청리 357번지 1호  
,한우,전라남도 장흥군 관산읍 용전리 319번지 1호  
,한우,전라남도 장흥군 용산면 상발리 280번지 1호  
,한우,전라남도 장흥군 장동면 조양리 산 11번지  
,한우,전라남도 장흥군 회진면 회진리 1292번지  
차**,한우,전라남도 장흥군 대덕읍 도청리 43번지 12호  
,한우,전라남도 장흥군 관산읍 신동리 583번지 1호  
,한우,전라남도 장흥군 장동면 만년리 540번지 1호  
,한우,전라남도 장흥군 관산읍 고마리 519번지 21호  
,한우,전라남도 장흥군 대덕읍 도청리 678번지  
천수목장,한우,전라남도 장흥군 용산면 운주리 426번지  
,한우,전라남도 장흥군 대덕읍 신월리 171번지 1호  
월평농장,한우,"전라남도 장흥군 장흥읍 향양리 186-1, 187-1, 105, 112-1번지 "
,한우,전라남도 장흥군 대덕읍 연정리 572번지 2호  
연우농장,한우,전라남도 장흥군 장동면 북교리 16번지 9호  
,한우,전라남도 장흥군 장흥읍 관덕리 21번지 7호  
김**,한우,전라남도 장흥군 대덕읍 잠두리 1042번지 2호  
이**,한우,전라남도 장흥군 관산읍 신동리 487번지 1호  
김**농장,한우,"전라남도 장흥군 장흥읍 평장리 669, 667-2번지 "
정**,한우,전라남도 장흥군 관산읍 옥당리 740번지  
신리농장,한우,전라남도 장흥군 대덕읍 신리 1번지  
이**,한우,전라남도 장흥군 장동면 봉동리 592번지 3호  
,한우,전라남도 장흥군 대덕읍 신월리 538번지 3호  
,한우,전라남도 장흥군 장평면 청용리 산 499번지 6호  
,한우,전라남도 장흥군 대덕읍 신리 805번지 2호  
,한우,전라남도 장흥군 대덕읍 연지리 535번지 1호  
,한우,전라남도 장흥군 관산읍 방촌리 365번지 1호  
,한우,전라남도 장흥군 용산면 녹원리 291번지 1호  
,한우,전라남도 장흥군 용산면 접정리 605번지 1호  
,한우,전라남도 장흥군 대덕읍 가학리 609번지  
모리아축산,한우,전라남도 장흥군 장흥읍 우산리 512번지  
,한우,전라남도 장흥군 장흥읍 삼산리 715번지 10호  
,한우,전라남도 장흥군 장흥읍 평장리 649번지  
재영농장,한우,전라남도 장흥군 회진면 덕산리 573번지  
,한우,전라남도 장흥군 용산면 관지리 154번지  
,한우,전라남도 장흥군 관산읍 외동리 1932번지  
,한우,전라남도 장흥군 관산읍 삼산리 1748번지 2호  
,한우,전라남도 장흥군 회진면 진목리 1021번지  
,한우,전라남도 장흥군 대덕읍 신리 796번지  
,한우,전라남도 장흥군 대덕읍 연정리 872번지 1호  
박**농장,한우,전라남도 장흥군 대덕읍 연정리 285번지 6호  
,한우,전라남도 장흥군 대덕읍 도청리 193번지  
박**,한우,전라남도 장흥군 대덕읍 연정리 1172번지 3호  
박**,한우,전라남도 장흥군 대덕읍 분토리 182번지  
위**,한우,전라남도 장흥군 관산읍 옥당리 523번지 11호  
권**,한우,전라남도 장흥군 회진면 진목리 978번지 33호  
민우네농장,한우,전라남도 장흥군 대덕읍 연지리 809번지  
이**,한우,전라남도 장흥군 장흥읍 행원리 31번지 1호  
강정농장,한우,전라남도 장흥군 장흥읍 행원리 512번지 1호  
준혁농장,한우,전라남도 장흥군 장흥읍 행원리 30번지 4호  
금안 농장,한우,전라남도 장흥군 장흥읍 금산리 567번지  
용식농장,한우,"전라남도 장흥군 대덕읍 잠두리 71, 72-2, 67-2, 68-1번지 "
영인농장,한우,전라남도 장흥군 용산면 어산리 843번지  
정단농장,한우,전라남도 장흥군 대덕읍 연지리 926번지  
현호농장,한우,전라남도 장흥군 대덕읍 잠두리 177번지  
양길농장,한우,전라남도 장흥군 대덕읍 연지리 1011번지  
기홍농장,한우,전라남도 장흥군 대덕읍 신월리 산 117번지 4호  
항종농장,한우,전라남도 장흥군 안양면 사촌리 608번지 1호  
성호농장,한우,전라남도 장흥군 대덕읍 잠두리 786번지 1호  
태송농장,한우,전라남도 장흥군 대덕읍 연지리 863번지 20호  
일만농장,한우,전라남도 장흥군 대덕읍 연지리 216번지 1호  
동주농장,한우,전라남도 장흥군 대덕읍 연지리 266번지 18호  
진석 농장,한우,전라남도 장흥군 대덕읍 연지리 813번지 2호  
병태농장,한우,전라남도 장흥군 장흥읍 행원리 234번지  
명화 농장,한우,전라남도 장흥군 용산면 접정리 707번지 30호  
상섭농장,한우,전라남도 장흥군 대덕읍 잠두리 477번지  
우용농장,한우,"전라남도 장흥군 대덕읍 가학리 531-1, 531-6번지 "
홍빈농장,한우,전라남도 장흥군 대덕읍 연정리 146번지  
길중농장,한우,전라남도 장흥군 용산면 상금리 116번지  
성동농장,한우,전라남도 장흥군 용산면 접정리 22번지 1호  
경호농장,한우,전라남도 장흥군 장흥읍 순지리 4번지 1호  
일식 농장,한우,전라남도 장흥군 관산읍 지정리 267번지 1호  
성순농장,한우,전라남도 장흥군 대덕읍 연지리 862번지  
이석농장,한우,전라남도 장흥군 대덕읍 옹암리 453번지 3호  
백자골농원,한우,전라남도 장흥군 용산면 월송리 727번지 4호  
굴바우농장,한우,전라남도 장흥군 장평면 선정리 214번지 3호  
병태농장,한우,전라남도 장흥군 용산면 녹원리 132번지 4호  
차식농장,한우,전라남도 장흥군 용산면 녹원리 262번지 1호  
광원농장,한우,전라남도 장흥군 장동면 만년리 636번지 1호  
강홍농장,한우,전라남도 장흥군 부산면 구룡리 806번지  
길암농장,한우,전라남도 장흥군 부산면 기동리 358번지  
용식농장,한우,전라남도 장흥군 부산면 용반리 794번지 7호  
종철농장,한우,전라남도 장흥군 부산면 용반리 467번지 1호  
득봉농장,한우,전라남도 장흥군 부산면 구룡리 682번지  
믿음농장,한우,"전라남도 장흥군 안양면 운흥리 65, 66, 67, 64번지 "
아이와농장,한우,전라남도 장흥군 용산면 관지리 462번지  
영숙농장,한우,전라남도 장흥군 회진면 덕산리 604번지  
,한우,전라남도 장흥군 장평면 선정리 403번지 3호  
은님농장,한우,전라남도 장흥군 대덕읍 도청리 269번지 3호  
경채농장,한우,전라남도 장흥군 대덕읍 연지리 199번지  
규선농장,한우,전라남도 장흥군 대덕읍 가학리 281번지  
금호농장,한우,전라남도 장흥군 장평면 봉림리 224번지 1호  
종균농장,한우,전라남도 장흥군 관산읍 하발리 155번지 1호  
동석농장,한우,전라남도 장흥군 관산읍 송촌리 808번지 18호  
재성농장,한우,전라남도 장흥군 관산읍 지정리 1017번지 2호  
석현농장,한우,전라남도 장흥군 관산읍 삼산리 833번지  
경수농장,한우,전라남도 장흥군 관산읍 삼산리 1702번지  
점수농장,한우,전라남도 장흥군 관산읍 방촌리 388번지 8호  
점석농장,한우,전라남도 장흥군 관산읍 삼산리 590번지  
병현농장,한우,전라남도 장흥군 관산읍 용전리 292번지 1호  
양심농장,한우,전라남도 장흥군 관산읍 성산리 100번지  
광석농장,한우,전라남도 장흥군 관산읍 외동리 448번지  
성부농장,한우,전라남도 장흥군 안양면 해창리 572번지 32호  
,한우,전라남도 장흥군 장흥읍 행원리 894번지  
,한우,전라남도 장흥군 장동면 용곡리 674번지  
,한우,전라남도 장흥군 회진면 진목리 202번지  
,한우,전라남도 장흥군 용산면 운주리 산 106번지  
,한우,전라남도 장흥군 관산읍 삼산리 123번지  
,한우,전라남도 장흥군 대덕읍 잠두리 172번지 1호  
,한우,전라남도 장흥군 용산면 운주리 14번지 7호  
한필농장,한우,전라남도 장흥군 용산면 상발리 574번지  
석동농장,한우,전라남도 장흥군 용산면 인암리 831번지 4호  
,한우,전라남도 장흥군 용산면 인암리 793번지 3호  
,한우,전라남도 장흥군 장동면 만년리 475번지 9호  
,한우,전라남도 장흥군 장평면 축내리 374번지 1호  
윤**,한우,전라남도 장흥군 회진면 덕산리 292번지  
,한우,전라남도 장흥군 대덕읍 연지리 913번지  
,한우,전라남도 장흥군 대덕읍 신월리 1052번지 1호  
,한우,전라남도 장흥군 대덕읍 신월리 833번지 2호  
,한우,전라남도 장흥군 대덕읍 신월리 760번지 1호  
,한우,전라남도 장흥군 대덕읍 신월리 883번지  
월정농장,한우,전라남도 장흥군 대덕읍 신월리 747번지  
,한우,전라남도 장흥군 용산면 관지리 561번지  
,한우,전라남도 장흥군 용산면 상발리 301번지  
,한우,전라남도 장흥군 용산면 상발리 304번지  
,한우,전라남도 장흥군 용산면 상발리 289번지  
태성농장,한우,전라남도 장흥군 용산면 상발리 933번지 6호  
,한우,전라남도 장흥군 용산면 상발리 306번지  
,한우,전라남도 장흥군 용산면 상발리 584번지  
,한우,전라남도 장흥군 용산면 어산리 850번지  
,한우,전라남도 장흥군 용산면 어산리 580번지 3호  
,한우,전라남도 장흥군 용산면 어산리 705번지 1호  
,한우,전라남도 장흥군 용산면 어산리 712번지  
,한우,전라남도 장흥군 용산면 어산리 578번지 5호  
,한우,전라남도 장흥군 용산면 어산리 173번지 1호  
,한우,전라남도 장흥군 용산면 어산리 263번지  
,한우,전라남도 장흥군 용산면 어산리 684번지  
,한우,전라남도 장흥군 용산면 어산리 670번지  
,한우,전라남도 장흥군 용산면 어산리 631번지 1호  
,한우,전라남도 장흥군 용산면 어산리 726번지  
,한우,전라남도 장흥군 용산면 인암리 737번지 4호  
,한우,전라남도 장흥군 용산면 인암리 741번지  
,한우,전라남도 장흥군 용산면 접정리 385번지 35호  
,한우,전라남도 장흥군 용산면 어산리 230번지  
,한우,전라남도 장흥군 용산면 접정리 330번지  
,한우,전라남도 장흥군 용산면 접정리 34번지 2호  
,한우,전라남도 장흥군 용산면 접정리 508번지  
,한우,전라남도 장흥군 용산면 접정리 20번지  
,한우,전라남도 장흥군 용산면 접정리 328번지  
,한우,전라남도 장흥군 용산면 접정리 477번지  
,한우,전라남도 장흥군 용산면 접정리 387번지  
,한우,전라남도 장흥군 용산면 접정리 109번지  
,한우,전라남도 장흥군 용산면 접정리 264번지  
,한우,전라남도 장흥군 용산면 접정리 394번지 1호  
,한우,전라남도 장흥군 용산면 접정리 108번지  
,한우,전라남도 장흥군 용산면 접정리 466번지  
,한우,전라남도 장흥군 용산면 접정리 454번지  
,한우,전라남도 장흥군 대덕읍 잠두리 147번지 3호  
,한우,전라남도 장흥군 대덕읍 신리 499번지 2호  
,한우,전라남도 장흥군 대덕읍 잠두리 497번지  
,한우,전라남도 장흥군 대덕읍 잠두리 206번지 4호  
,한우,전라남도 장흥군 대덕읍 옹암리 566번지 4호  
,한우,전라남도 장흥군 대덕읍 잠두리 266번지 1호  
,한우,전라남도 장흥군 용산면 인암리 695번지 2호  
,한우,전라남도 장흥군 용산면 인암리 694번지 5호  
,한우,전라남도 장흥군 용산면 인암리 544번지  
,한우,전라남도 장흥군 용산면 인암리 540번지  
,한우,전라남도 장흥군 용산면 인암리 875번지  
,한우,전라남도 장흥군 용산면 인암리 800번지 2호  
,한우,전라남도 장흥군 용산면 인암리 753번지  
,한우,전라남도 장흥군 용산면 인암리 687번지  
,한우,전라남도 장흥군 용산면 인암리 857번지 5호  
,한우,전라남도 장흥군 용산면 상금리 225번지  
,한우,전라남도 장흥군 용산면 상금리 186번지  
,한우,전라남도 장흥군 용산면 상금리 478번지  
,한우,전라남도 장흥군 용산면 상금리 132번지 4호  
,한우,전라남도 장흥군 용산면 상금리 190번지  
,한우,전라남도 장흥군 용산면 상금리 329번지 2호  
,한우,전라남도 장흥군 장동면 북교리 598번지 2호  
,한우,전라남도 장흥군 용산면 인암리 542번지  
,한우,전라남도 장흥군 용산면 어산리 278번지 7호  
,한우,전라남도 장흥군 용산면 상발리 205번지 3호  
,한우,전라남도 장흥군 용산면 월송리 400번지  
,한우,전라남도 장흥군 용산면 모산리 562번지  
,한우,전라남도 장흥군 용산면 상발리 135번지  
,한우,전라남도 장흥군 용산면 모산리 205번지  
김**,한우,전라남도 장흥군 용산면 모산리 156번지 2호  
,한우,전라남도 장흥군 용산면 금곡리 43번지 5호  
,한우,전라남도 장흥군 용산면 금곡리 31번지  
,한우,전라남도 장흥군 용산면 금곡리 57번지  
,한우,전라남도 장흥군 용산면 상발리 589번지  
,한우,전라남도 장흥군 용산면 상금리 129번지  
,한우,전라남도 장흥군 용산면 금곡리 53번지  
,한우,전라남도 장흥군 용산면 모산리 14번지 12호  
,한우,전라남도 장흥군 용산면 월송리 417번지  
,한우,전라남도 장흥군 용산면 월송리 162번지  
,한우,전라남도 장흥군 용산면 월송리 438번지  
창환농장,한우,"전라남도 장흥군 용산면 월송리 49, 50, 50-4, 53, 54, 55-1, 산20-9번지 "
,한우,전라남도 장흥군 용산면 월송리 187번지  
,한우,전라남도 장흥군 용산면 월송리 183번지  
,한우,전라남도 장흥군 용산면 상발리 산 39번지  
복자농장,한우,전라남도 장흥군 용산면 인암리 664번지 43호  
,한우,전라남도 장흥군 용산면 월송리 184번지 1호  
,한우,전라남도 장흥군 관산읍 외동리 191번지  
,한우,전라남도 장흥군 장평면 축내리 742번지 9호  
형운농장,한우,"전라남도 장흥군 관산읍 외동리 752-19, 752-362번지 "
,한우,전라남도 장흥군 관산읍 남송리 371번지  
안**,한우,전라남도 장흥군 대덕읍 연지리 12번지 116호  
,한우,전라남도 장흥군 안양면 당암리 656번지 1호  
,한우,전라남도 장흥군 장동면 만년리 556번지  
,한우,전라남도 장흥군 장동면 북교리 486번지  
,한우,전라남도 장흥군 장동면 반산리 437번지 9호  
우리농장,한우,전라남도 장흥군 대덕읍 신월리 669번지 1호  
,한우,전라남도 장흥군 대덕읍 연정리 1042번지  
,한우,전라남도 장흥군 대덕읍 신리 464번지 1호  
,한우,전라남도 장흥군 안양면 모령리 217번지 1호  
,한우,전라남도 장흥군 장흥읍 남외리 142번지 1호  
남양축산,한우,전라남도 장흥군 회진면 회진리 1118번지  
,한우,전라남도 장흥군 장흥읍 남외리 228번지 2호  
,한우,전라남도 장흥군 대덕읍 도청리 565번지  
,한우,전라남도 장흥군 관산읍 삼산리 511번지 3호  
,한우,전라남도 장흥군 장흥읍 금산리 520번지 2호  
,한우,전라남도 장흥군 장흥읍 연산리 451번지  
,한우,전라남도 장흥군 장흥읍 평화리 162번지 4호  
,한우,전라남도 장흥군 관산읍 송촌리 400번지 17호  
여동농장,한우,"전라남도 장흥군 용산면 상금리 691, 681번지 "
,한우,전라남도 장흥군 회진면 회진리 1855번지 9호  
,한우,전라남도 장흥군 안양면 사촌리 237번지  
,한우,전라남도 장흥군 관산읍 신동리 83번지 1호  
,한우,전라남도 장흥군 관산읍 신동리 140번지  
,한우,전라남도 장흥군 관산읍 삼산리 1740번지 13호  
동원농장,한우,전라남도 장흥군 장동면 용곡리 209번지 1호  
,한우,전라남도 장흥군 장동면 하산리 250번지  
,한우,전라남도 장흥군 대덕읍 도청리 252번지 1호  
