사업장명칭,사업장소재지(지번),주사육업종,사육두수
나영농장,전라남도 영암군 시종면 신흥리  ,오리,12900
농계농장,전라남도 영암군 영암읍 송평리  ,오리,6500
철진축산,전라남도 영암군 덕진면 금강리  ,오리,15000
그린농장,전라남도 영암군 덕진면 장선리  ,오리,20000
진성축산,전라남도 영암군 덕진면 금강리  ,오리,20065
효산농장,전라남도 영암군 덕진면 노송리  ,오리,15000
일광농장,전라남도 영암군 신북면 월지리  ,오리,17045
정미농장,전라남도 영암군 덕진면 노송리  ,오리,8100
하림농장,전라남도 영암군 신북면 갈곡리  ,오리,12000
수지농장,전라남도 영암군 시종면 만수리  ,오리,15000
우송농장,전라남도 영암군 시종면 월롱리  ,오리,18000
오리천국,전라남도 영암군 시종면 신학리 ,오리,25000
용현농장,전라남도 영암군 시종면 와우리  ,오리,18000
서흥농장,전라남도 영암군 시종면 신학리  ,오리,16000
정수농장,전라남도 영암군 영암읍 망호리  ,오리,14000
겨레농장,전라남도 영암군 군서면 도장리  ,오리,25000
새로나농장,전라남도 영암군 신북면 갈곡리  ,오리,40000
행복농장,전라남도 영암군 시종면 와우리  ,오리,25000
희망농장,전라남도 영암군 도포면 원항리  ,오리,15000
태광농장,전라남도 영암군 군서면 도장리  ,오리,20000
부성축산,전라남도 영암군 덕진면 노송리  ,오리,13000
코스모스농원,전라남도 영암군 학산면 묵동리  ,오리,10000
해맑은농장,전라남도 영암군 도포면 봉호리  ,오리,28000
우도농장,전라남도 영암군 덕진면 용산리  ,오리,52000
승승농장,전라남도 영암군 시종면 신학리  ,오리,8500
삼성농장,전라남도 영암군 군서면 도장리  ,오리,10000
오현농장,전라남도 영암군 신북면 월지리  ,오리,45000
향월농장,전라남도 영암군 덕진면 장선리 ,오리,60000
해랑농장,전라남도 영암군 신북면 모산리  ,오리,12000
애경농장,전라남도 영암군 신북면 장산리  ,오리,18000
벧엘농장,전라남도 영암군 시종면 월롱리  ,오리,50000
건숙농장,전라남도 영암군 금정면 안노리  ,오리,17000
알파덕,전라남도 영암군 신북면 양계리  ,오리,74800
덕신영농조합법인,전라남도 영암군 덕진면 장선리  ,오리,14400
하은농장,전라남도 영암군 도포면 구학리  ,오리,24000
호서농장,전라남도 영암군 시종면 봉소리  ,오리,30700
백순애농장,전라남도 영암군 도포면 성산리  ,오리,30000
태평농장,전라남도 영암군 시종면 신연리  ,오리,20000
신흥농장,전라남도 영암군 시종면 신흥리  ,오리,15000
희망축사,전라남도 영암군 시종면 신연리  ,오리,20000
일광농장,전라남도 영암군 시종면 신연리  ,오리,35000
하우리농장,전라남도 영암군 신북면 월지리  ,오리,70000
나주뜰오리,전라남도 영암군 신북면 월지리  ,오리,30000
성진농장,전라남도 영암군 신북면 행정리  ,오리,16000
장수농장,전라남도 영암군 도포면 구학리  ,오리,25000
원광1농장,전라남도 영암군 신북면 월지리  ,오리,15000
성윤농장,전라남도 영암군 도포면 구학리  ,오리,13900
김두장,전라남도 영암군 시종면 신학리  ,오리,9000
형암농장,전라남도 영암군 시종면 봉소리,오리,16000
다솔,전라남도 영암군 시종면 옥야리  ,오리,50000
남경축산,전라남도 영암군 신북면 갈곡리  ,오리,22000
에덴농장,전라남도 영암군 시종면 신학리,오리,12000
평엽농장,전라남도 영암군 시종면 신연리,오리,12000
건향오리,전라남도 영암군 신북면 행정리,오리,52000
선미농장,전라남도 영암군 덕진면 노송리  ,오리,13000
태희농장,전라남도 영암군 시종면 신학리  ,오리,25000
지훈농장,전라남도 영암군 신북면 월지리  ,오리,10000
목림,전라남도 영암군 신북면 학동리  ,오리,17000
월지농장,전라남도 영암군 신북면 월지리  ,오리,8500
하정팜(form),전라남도 영암군 시종면 신학리  ,오리,20000
경균농장,전라남도 영암군 도포면 영호리  ,오리,25000
성윤농장,전라남도 영암군 시종면 봉소리  ,오리,68900
오리농장,전라남도 영암군 신북면 학동리  ,오리,20000
민중농장,전라남도 영암군 시종면 봉소리  ,오리,27000
목원농장,전라남도 영암군 시종면 신학리  ,오리,18900
선일농장,전라남도 영암군 덕진면 노송리  ,오리,14200
영민농장,전라남도 영암군 영암읍 송평리  ,오리,8000
한마음농장,전라남도 영암군 시종면 만수리  ,육계,67147
장천양계장,전라남도 영암군 서호면 장천리  ,육계,70000
민성양계장,전라남도 영암군 학산면 금계리 ,육계,55000
진양계장,전라남도 영암군 군서면 양장리  ,육계,60000
화산농장,전라남도 영암군 삼호읍 서창리  ,육계,80000
삼영농장,전라남도 영암군 미암면 채지리  ,육계,11200
미암농장,전라남도 영암군 미암면 두억리  ,육계,3000
지영농장,전라남도 영암군 시종면 신학리  ,육계,100000
백호축산,전라남도 영암군 시종면 신학리  ,육계,70000
애니피아 영농조합법인,전라남도 영암군 금정면 세류리  ,육계,45000
영성농장,전라남도 영암군 신북면 월평리  ,육계,150000
덕암농장,전라남도 영암군 영암읍 장암리  ,육계,40000
부영농장,전라남도 영암군 금정면 연소리  ,육계,30000
부희축산,전라남도 영암군 학산면 묵동리  ,육계,90000
이레농장,전라남도 영암군 시종면 와우리  ,육계,65000
갈곡농장,전라남도 영암군 신북면 갈곡리  ,육계,35000
남송농장,전라남도 영암군 금정면 남송리  ,육계,50000
학산농장,전라남도 영암군 학산면 용산리  ,육계,120000
박치완농장,전라남도 영암군 서호면 성재리  ,육계,50000
고산농장,전라남도 영암군 서호면 성재리  ,육계,37000
귀봉농장,전라남도 영암군 서호면 성재리  ,육계,80000
순광농장,전라남도 영암군 서호면 쌍풍리  ,육계,55020
장구섬농장,전라남도 영암군 시종면 신학리  ,육계,128000
김요한농장,전라남도 영암군 시종면 옥야리  ,육계,60000
춘정농장,전라남도 영암군 영암읍 장암리  ,육계,14000
길록양계,전라남도 영암군 서호면 태백리  ,육계,57700
반석축산,전라남도 영암군 서호면 금강리 ,육계,100000
성용농장,전라남도 영암군 서호면 소산리  ,육계,60020
미류네 농장,전라남도 영암군 서호면 몽해리  ,육계,50000
산호농장,전라남도 영암군 삼호읍호리  ,육계,20000
상형축산,전라남도 영암군 서호면 소산리  ,육계,7000
금강농장,전라남도 영암군 덕진면 금강리 ,육계,15000
달농장,전라남도 영암군 도포면 원항리  ,육계,45000
기영농장,전라남도 영암군 시종면 신학리  ,육계,35000
순화농장,전라남도 영암군 시종면 신학리  ,육계,70000
달농장,전라남도 영암군 도포면 원항리  ,육계,85000
춘양농장,전라남도 영암군 영암읍 남풍리  ,육계,2500
황두성농장,전라남도 영암군 덕진면 노송리  ,육계,45000
태흥농장,전라남도 영암군 신북면 월지리  ,육계,60000
153농장,전라남도 영암군 영암읍 농덕리  ,육계,9300
우리농장,전라남도 영암군 도포면 구학리  ,육계,45000
벧엘농장,전라남도 영암군 신북면 학동리  ,육계,65000
낭주농장,전라남도 영암군 영암읍 송평리 ,육계,58000
태성농장,전라남도 영암군 삼호읍호리  ,육계,500
기포농장,전라남도 영암군 학산면 묵동리  ,육계,400
평안농장,전라남도 영암군 삼호읍 삼포리  ,육계,150
그린농장,전라남도 영암군 덕진면 노송리  ,육계,120000
송정양계장,전라남도 영암군 서호면 화송리  ,육계,25000
형제농장,전라남도 영암군 도포면 구학리  ,육계,110000
행정농장,전라남도 영암군 신북면 행정리  ,육계,130000
종욱농장,전라남도 영암군 시종면 신학리  ,육계,44900
영신농장,전라남도 영암군 덕진면 노송리  ,육계,50000
태산농장,전라남도 영암군 시종면 봉소리  ,육계,92000
삼성농장,전라남도 영암군 군서면 도장리  ,육계,120000
성환농장,전라남도 영암군 덕진면 노송리  ,육계,27900
영신농장,전라남도 영암군 덕진면 노송리  ,육계,45000
성우천목장,전라남도 영암군 학산면 용산리  ,육우,5
대성목장,전라남도 영암군 서호면 몽해리  ,육우,5
성산목장,전라남도 영암군 학산면 묵동리  ,젖소,150
묵동목장,전라남도 영암군 학산면 묵동리  ,젖소,200
한림목장,전라남도 영암군 시종면 만수리  ,젖소,112
신원목장,전라남도 영암군 미암면 선황리  ,젖소,60
일출목장,전라남도 영암군 도포면 구학리  ,젖소,80
은혜목장,전라남도 영암군 미암면 두억리  ,젖소,120
미인목장,전라남도 영암군 미암면 미암리  ,젖소,180
대행목장,전라남도 영암군 미암면 두억리  ,젖소,120
청해목장,전라남도 영암군 미암면 두억리  ,젖소,126
제일목장,전라남도 영암군 미암면 춘동리  ,젖소,187
효산목장,전라남도 영암군 학산면 묵동리  ,젖소,81
월출목장,전라남도 영암군 미암면 두억리  ,젖소,110
보림농장,전라남도 영암군 신북면 이천리  ,젖소,90
천유목장,전라남도 영암군 신북면 양계리  ,젖소,70
산장목장,전라남도 영암군 학산면 용산리  ,젖소,40
지원목장,전라남도 영암군 서호면 몽해리  ,젖소,60
성은목장,전라남도 영암군 학산면 묵동리  ,젖소,115
한샘목장,전라남도 영암군 학산면 용산리  ,젖소,98
만옥농장,전라남도 영암군 신북면 금수리  ,젖소,78
은영목장,전라남도 영암군 신북면 금수리  ,젖소,60
안산목장,전라남도 영암군 신북면 금수리  ,젖소,93
세나목장,전라남도 영암군 신북면 금수리  ,젖소,130
혜진목장,전라남도 영암군 신북면 갈곡리  ,젖소,30
안성목장,전라남도 영암군 덕진면 장선리  ,젖소,120
금호목장,전라남도 영암군 신북면 유곡리  ,젖소,70
이천목장,전라남도 영암군 신북면 이천리  ,젖소,110
봉소목장,전라남도 영암군 시종면 봉소리  ,젖소,80
영생목장,전라남도 영암군 신북면 양계리 ,젖소,65
화정목장,전라남도 영암군 신북면 금수리  ,젖소,100
명성목장,전라남도 영암군 서호면 쌍풍리  ,젖소,72
신일목장,전라남도 영암군 시종면 만수리  ,젖소,70
영진농장,전라남도 영암군 학산면 용산리  ,젖소,80
학산유천낙농영농조합법인,전라남도 영암군 학산면 상월리  ,젖소,100
서호목장,전라남도 영암군 서호면 쌍풍리  ,젖소,28
광산농장,전라남도 영암군 학산면 독천리  ,젖소,70
화운목장,전라남도 영암군 시종면 금지리  ,젖소,85
연원목장,전라남도 영암군 신북면 행정리  ,젖소,70
청솔목장,전라남도 영암군 서호면 몽해리  ,젖소,250
현재목장,전라남도 영암군 시종면 만수리  ,젖소,80
성원목장,전라남도 영암군 학산면 용소리  ,젖소,45
동식농장,전라남도 영암군 시종면 금지리  ,젖소,30
몽해농장,전라남도 영암군 학산면 용산리  ,젖소,120
명수목장,전라남도 영암군 신북면 금수리  ,젖소,60
신애농장,전라남도 영암군 신북면 금수리  ,젖소,40
대원목장,전라남도 영암군 학산면 용산리 ,젖소,167
동화목장,전라남도 영암군 신북면 양계리 ,젖소,40
영월목장,전라남도 영암군 영암읍 교동리  ,젖소,30
보림목장,전라남도 영암군 신북면 행정리  ,젖소,100
복현목장,전라남도 영암군 학산면 묵동리  ,젖소,110
제일목장,전라남도 영암군 미암면 춘동리  ,젖소,50
삼호축산,전라남도 영암군 삼호읍 서호리  ,한우,30
우정농축산,전라남도 영암군 신북면 갈곡리  ,한우,100
광암축산,전라남도 영암군 학산면 학계리  ,한우,27
서광축산,전라남도 영암군 군서면 동호리 ,한우,70
건흥농장,전라남도 영암군 덕진면 백계리  ,한우,350
믿음농장,전라남도 영암군 덕진면 백계리  ,한우,20
성보축산,전라남도 영암군 덕진면 영등리  ,한우,170
춘화농장,전라남도 영암군 덕진면 백계리  ,한우,100
믿음농장,전라남도 영암군 덕진면 백계리  ,한우,200
금호축산,전라남도 영암군 덕진면 금강리  ,한우,500
믿음농장,전라남도 영암군 덕진면 백계리  ,한우,200
푸른농장,전라남도 영암군 미암면 신한리  ,한우,150
덕화농장,전라남도 영암군 도포면 덕화리  ,한우,60
백산농장,전라남도 영암군 서호면 장천리  ,한우,90
해돋이농장,전라남도 영암군 서호면 쌍풍리  ,한우,150
한길농장,전라남도 영암군 서호면 쌍풍리  ,한우,150
희용농장,전라남도 영암군 도포면 수산리  ,한우,75
학림축산,전라남도 영암군 도포면 수산리  ,한우,150
용천목장,전라남도 영암군 금정면 용흥리  ,한우,60
청림농장,전라남도 영암군 덕진면 금강리  ,한우,80
믿음농장,전라남도 영암군 덕진면 백계리  ,한우,160
성원농장,전라남도 영암군 덕진면 노송리  ,한우,150
용복축산,전라남도 영암군 덕진면 노송리  ,한우,60
인주농장,전라남도 영암군 덕진면 노송리  ,한우,60
망호농장,전라남도 영암군 영암읍 망호리  ,한우,50
진호농장,전라남도 영암군 도포면 봉호리 ,한우,50
성우축산,전라남도 영암군 덕진면 노송리  ,한우,90
대흥농장,전라남도 영암군 금정면 용흥리  ,한우,66
금호축산,전라남도 영암군 덕진면 금강리  ,한우,130
금호축산,전라남도 영암군 덕진면 금강리  ,한우,230
송림축산,전라남도 영암군 덕진면 노송리  ,한우,100
청용축산,전라남도 영암군 영암읍 학송리  ,한우,64
복음농장,전라남도 영암군 서호면 성재리  ,한우,70
원기축산,전라남도 영암군 서호면 청용리  ,한우,35
서호농장,전라남도 영암군 서호면 금강리  ,한우,40
대성농장,전라남도 영암군 서호면 성재리  ,한우,40
유번농장,전라남도 영암군 학산면 용산리 ,한우,120
영암미암한우영농조합법인,전라남도 영암군 미암면 호포리  ,한우,500
부자축산,전라남도 영암군 서호면 소산리  ,한우,240
아름다운농장,전라남도 영암군 도포면 수산리  ,한우,150
소망농장,전라남도 영암군 도포면 수산리  ,한우,350
비손축산,전라남도 영암군 덕진면 노송리  ,한우,37
화산목장,전라남도 영암군 삼호읍 서창리  ,한우,30
성훈농장,전라남도 영암군 학산면 독천리  ,한우,60
환희농장,전라남도 영암군 영암읍 개신리  ,한우,30
춘양농장,전라남도 영암군 영암읍 춘양리  ,한우,25
광암축산,전라남도 영암군 신북면 행정리  ,한우,420
금성농장,전라남도 영암군 도포면 영호리 ,한우,800
금성농장,전라남도 영암군 도포면 영호리  ,한우,800
동용축산,전라남도 영암군 미암면 두억리  ,한우,33
춘우농장,전라남도 영암군 미암면 춘동리 ,한우,60
아리랑축산,전라남도 영암군 미암면 춘동리  ,한우,70
삼호축산,전라남도 영암군 미암면 신포리  ,한우,170
성일농장,전라남도 영암군 미암면 호포리 ,한우,120
주안농장,전라남도 영암군 미암면 신한리  ,한우,20035
성지축산,전라남도 영암군 미암면 채지리  ,한우,45
안로축산,전라남도 영암군 금정면 안노리  ,한우,105
갑산축산,전라남도 영암군 금정면 안노리  ,한우,40
연지축산,전라남도 영암군 금정면 안노리  ,한우,21
시목농장,전라남도 영암군 학산면 묵동리  ,한우,300
용산축산,전라남도 영암군 신북면 용산리  ,한우,20
송암축산,전라남도 영암군 신북면 행정리  ,한우,50
골논축산,전라남도 영암군 학산면 묵동리  ,한우,24
월출패밀리축산,전라남도 영암군 군서면 마산리  ,한우,150
한중농장,전라남도 영암군 도포면 덕화리  ,한우,21
기호농장,전라남도 영암군 도포면 수산리  ,한우,22
상록수농장,전라남도 영암군 군서면 동호리  ,한우,35
수산농장,전라남도 영암군 도포면 수산리  ,한우,62
선경축산,전라남도 영암군 도포면 덕화리  ,한우,40
대승농장,전라남도 영암군 삼호읍호리  ,한우,30
늘푸른태승농장,전라남도 영암군 삼호읍 동호리  ,한우,55
이남농장,전라남도 영암군 삼호읍 용앙리  ,한우,30
사랑농장,전라남도 영암군 삼호읍 서호리  ,한우,65
오복축산,전라남도 영암군 삼호읍 망산리  ,한우,6
군서농장,전라남도 영암군 군서면 도갑리  ,한우,67
지남농장,전라남도 영암군 군서면 동호리  ,한우,56
한임선한우농장,전라남도 영암군 군서면 동호리  ,한우,100
마산농장,전라남도 영암군 군서면 마산리  ,한우,20
동호농장,전라남도 영암군 군서면 동호리  ,한우,17
일도축산,전라남도 영암군 군서면 해창리  ,한우,20
청우농장,전라남도 영암군 군서면 마산리  ,한우,55
복기농장,전라남도 영암군 군서면 마산리  ,한우,23
오산농축산,전라남도 영암군 군서면 마산리  ,한우,40
황소농장,전라남도 영암군 삼호읍호리  ,한우,35
성촌축산,전라남도 영암군 영암읍 학송리  ,한우,36
수성농장,전라남도 영암군 영암읍 망호리  ,한우,90
화문농장,전라남도 영암군 영암읍 망호리  ,한우,40
신정축산,전라남도 영암군 영암읍 농덕리  ,한우,20
춘양목장,전라남도 영암군 영암읍 춘양리  ,한우,51
안적축산,전라남도 영암군 금정면 용흥리  ,한우,21
담희농장,전라남도 영암군 신북면 유곡리  ,한우,47
학동농장,전라남도 영암군 신북면 학동리  ,한우,15
명열농장,전라남도 영암군 학산면 용산리  ,한우,5
동호농장,전라남도 영암군 군서면 동호리  ,한우,26
정일축산,전라남도 영암군 군서면 마산리,한우,63
두영농장,전라남도 영암군 학산면 용산리  ,한우,14
가람농장,전라남도 영암군 학산면 용산리  ,한우,43
선재축산,전라남도 영암군 학산면 묵동리  ,한우,35
종남축산,전라남도 영암군 도포면 덕화리  ,한우,60
자립농장,전라남도 영암군 도포면 원항리  ,한우,90
종남농장,전라남도 영암군 도포면 도포리  ,한우,50
만성농장,전라남도 영암군 도포면 원항리  ,한우,30
석중농장,전라남도 영암군 도포면 덕화리  ,한우,60
최선철농장,전라남도 영암군 군서면 동호리 ,한우,51
주안농장,전라남도 영암군 삼호읍 망산리  ,한우,100
목삼농장,전라남도 영암군 삼호읍 난전리  ,한우,30
장군농장,전라남도 영암군 학산면 용산리  ,한우,110
용산축산,전라남도 영암군 학산면 용산리  ,한우,20
산정축업,전라남도 영암군 신북면 용산리  ,한우,40
남철축산,전라남도 영암군 서호면 화송리  ,한우,40
용균축산,전라남도 영암군 시종면 봉소리  ,한우,15
한울농장,전라남도 영암군 시종면 옥야리  ,한우,70
구산농장,전라남도 영암군 시종면 구산리  ,한우,100
최용출농장,전라남도 영암군 군서면 동호리  ,한우,15
종만축산,전라남도 영암군 서호면 성재리  ,한우,34
흥우농장,전라남도 영암군 도포면 수산리  ,한우,70
희연축산,전라남도 영암군 신북면 월평리 ,한우,200
한우리축산,전라남도 영암군 도포면 봉호리  ,한우,100
연소목장,전라남도 영암군 시종면 신연리  ,한우,132
영등축산,전라남도 영암군 덕진면 영등리  ,한우,21
꿀산농장,전라남도 영암군 덕진면 금강리  ,한우,150
창식축산,전라남도 영암군 덕진면 운암리  ,한우,32
경호축산,전라남도 영암군 덕진면 장선리  ,한우,215
수암농장,전라남도 영암군 덕진면 용산리  ,한우,70
흥록축산,전라남도 영암군 학산면 금계리  ,한우,20
현균농장,전라남도 영암군 금정면 월평리  ,한우,29
봉황농장,전라남도 영암군 금정면 세류리  ,한우,36
새광축산,전라남도 영암군 학산면 용산리  ,한우,8
신동축산,전라남도 영암군 학산면 용산리  ,한우,100
장암농장,전라남도 영암군 영암읍 장암리  ,한우,25
길석농장,전라남도 영암군 덕진면 용산리  ,한우,13
약수영농조합법인,전라남도 영암군 덕진면 노송리  ,한우,55
성호농장,전라남도 영암군 삼호읍 난전리  ,한우,20
서창농장,전라남도 영암군 삼호읍 서창리  ,한우,25
갑연목장,전라남도 영암군 신북면 용산리  ,한우,108
야곱농장,전라남도 영암군 신북면 양계리  ,한우,70
덕실농장,전라남도 영암군 도포면 영호리  ,한우,40
대광축산,전라남도 영암군 도포면 성산리  ,한우,150
우정목장,전라남도 영암군 삼호읍 서창리  ,한우,100
군서축산,전라남도 영암군 군서면 서구림리  ,한우,80
삼휘축산,전라남도 영암군 삼호읍 망산리  ,한우,130
월송농장,전라남도 영암군 시종면 월송리  ,한우,60
쌍둥이축산,전라남도 영암군 신북면 유곡리  ,한우,70
우리축산,전라남도 영암군 신북면 이천리  ,한우,150
창구축산,전라남도 영암군 신북면 유곡리  ,한우,50
원항농장,전라남도 영암군 도포면 원항리  ,한우,22
금남농장,전라남도 영암군 도포면 영호리  ,한우,55
관용축산,전라남도 영암군 도포면 덕화리  ,한우,52
승재농장,전라남도 영암군 도포면 영호리  ,한우,100
형빈농장,전라남도 영암군 도포면 영호리  ,한우,230
정동축산,전라남도 영암군 시종면 신학리  ,한우,30
은혜농장,전라남도 영암군 덕진면 노송리  ,한우,50
황토한우영농조합법인,전라남도 영암군 도포면 영호리  ,한우,8
수채농장,전라남도 영암군 도포면 영호리  ,한우,100
종민농장,전라남도 영암군 도포면 영호리  ,한우,40
광훈농장,전라남도 영암군 도포면 영호리  ,한우,52
안산축산,전라남도 영암군 시종면 월악리  ,한우,90
화산농장,전라남도 영암군 도포면 영호리  ,한우,40
전원농장,전라남도 영암군 신북면 행정리  ,한우,270
희연축산,전라남도 영암군 신북면 월평리  ,한우,80
현덕목장,전라남도 영암군 시종면 신연리  ,한우,35
제일농장,전라남도 영암군 신북면 이천리  ,한우,40
신북한우단지,전라남도 영암군 신북면 갈곡리  ,한우,600
세진농장,전라남도 영암군 도포면 원항리  ,한우,40
영재농장,전라남도 영암군 도포면 원항리  ,한우,20
영암농장,전라남도 영암군 도포면 수산리  ,한우,28
희남농장,전라남도 영암군 도포면 수산리  ,한우,90
한아름농장,전라남도 영암군 도포면 수산리 ,한우,45
목우천농장,전라남도 영암군 도포면 수산리  ,한우,20
일선목장,전라남도 영암군 서호면 성재리  ,한우,25
동진농장,전라남도 영암군 서호면 쌍풍리  ,한우,21
문화목장,전라남도 영암군 서호면 쌍풍리  ,한우,25
정관목장,전라남도 영암군 서호면 성재리  ,한우,27
와우농장,전라남도 영암군 시종면 신학리  ,한우,70
태매목장,전라남도 영암군 시종면 구산리  ,한우,100
월악축산,전라남도 영암군 시종면 월악리  ,한우,67
율태목장,전라남도 영암군 학산면 용산리  ,한우,12
영우목장,전라남도 영암군 학산면 상월리  ,한우,80
희석농장,전라남도 영암군 학산면 용산리  ,한우,11
버들샘농장,전라남도 영암군 학산면 상월리  ,한우,50
소망목장,전라남도 영암군 시종면 신흥리  ,한우,50
정동농장,전라남도 영암군 시종면 신학리  ,한우,42
서울농장,전라남도 영암군 영암읍 망호리  ,한우,22
정현농장,전라남도 영암군 시종면 신연리  ,한우,150
보림농장,전라남도 영암군 시종면 옥야리  ,한우,8
광현농장,전라남도 영암군 서호면 소산리  ,한우,12
영찬농장,전라남도 영암군 서호면 소산리  ,한우,32
진흥축산,전라남도 영암군 덕진면 금강리 ,한우,224
유곡농장,전라남도 영암군 신북면 유곡리  ,한우,50
재학축산,전라남도 영암군 서호면 화송리  ,한우,45
새터농장,전라남도 영암군 서호면 쌍풍리  ,한우,32
주정만농장,전라남도 영암군 도포면 성산리  ,한우,50
영애축산,전라남도 영암군 도포면 성산리  ,한우,80
홍기농장,전라남도 영암군 신북면 갈곡리  ,한우,20
밀양축산,전라남도 영암군 시종면 옥야리  ,한우,31
서호축산,전라남도 영암군 서호면 몽해리  ,한우,14
양지촌마을 농장,전라남도 영암군 군서면 성양리  ,한우,13
