연번,사업장명,주사육업종,사업장소재지,등록일자,데이터기준일자
625,○○농장,육계,전라남도 나주시 동강면 양지리,2008-06-04,2023-01-20
627,정장원,오리,전라남도 나주시 동강면 양지리,2008-06-04,2023-01-20
628,○○농장,오리,전라남도 나주시 동강면 장동리,2008-06-04,2023-01-20
629,○○농장,오리,전라남도 나주시 동강면 장동리,2008-06-04,2023-01-20
631,○○농장,오리,전라남도 나주시 반남면 덕산리,2008-06-13,2023-01-20
632,○○농장,육계,전라남도 나주시 세지면 교산리,2008-06-13,2023-01-20
793,○○농원,오리,전라남도 나주시 동강면 장동리,2008-08-08,2023-01-20
805,○○농장,오리,전라남도 나주시 세지면 교산리,2008-09-02,2023-01-20
814,○○농장,오리,전라남도 나주시 세지면 교산리,2008-12-08,2023-01-20
818,○○농장,오리,전라남도 나주시 산포면 내기리,2009-01-09,2023-01-20
892,○○농장,오리,전라남도 나주시 산포면 덕례리,2009-05-22,2023-01-20
893,○○농장,육계,전라남도 나주시 동수동 ,2009-05-22,2023-01-20
895,광동양계장,육계,전라남도 나주시 반남면 청송리,2009-06-08,2023-01-20
900,○○농장,오리,전라남도 나주시 남평읍 평산리,2009-07-21,2023-01-20
901,○○농장,오리,전라남도 나주시 남평읍 오계리,2009-07-21,2023-01-20
905,○○농장,종계/산란계,전라남도 나주시 공산면 복용리,2009-09-11,2023-01-20
909,○○농장,오리,전라남도 나주시 세지면 성산리,2009-10-23,2023-01-20
913,○○농장,오리,전라남도 나주시 세지면 죽동리,2009-11-20,2023-01-20
924,○○농장,오리,전라남도 나주시 반남면 덕산리,2010-01-29,2023-01-20
934,○○농장,오리,전라남도 나주시 동강면 장동리,2010-03-17,2023-01-20
936,○○농장,오리,전라남도 나주시 세지면 내정리,2010-04-06,2023-01-20
955,○○농장,오리,전라남도 나주시 동강면 진천리,2010-09-14,2023-01-20
960,○○농장,오리,전라남도 나주시 반남면 청송리,2010-10-05,2023-01-20
966,○○farm,육계,전라남도 나주시 왕곡면 송죽리,2010-11-22,2023-01-20
974,○○농장,오리,전라남도 나주시 산포면 내기리,2011-01-18,2023-01-20
977,○○농장,오리,전라남도 나주시 공산면 동촌리,2011-01-28,2023-01-20
981,○○축산,오리,전라남도 나주시 남평읍 평산리,2011-02-14,2023-01-20
