연번,사업장명칭,주사육업종,사업장소재지(지번)
80,창우농장,산란계,전북특별자치도 김제시 용지면 신정리
81,상명축산,산란계,전북특별자치도 김제시 용지면 용수리
82,현대농장,산란계,전북특별자치도 김제시 용지면 장신리
83,다래농장,산란계,전북특별자치도 김제시 용지면 신정리
84,하나농장,산란계,전북특별자치도 김제시 용지면 신정리
85,전북계란영농조합,산란계,전북특별자치도 김제시 용지면 장신리
86,전북계란영농조합,산란계,전북특별자치도 김제시 용지면 예촌리
87,행운농장,산란계,전북특별자치도 김제시 용지면 용수리
88,푸른농장,산란계,전북특별자치도 김제시 용지면 장신리
89,복농장,산란계,전북특별자치도 김제시 용지면 장신리
90,석일농장,산란계,전북특별자치도 김제시 용지면 신정리
91,환농장,산란계,전북특별자치도 김제시 용지면 장신리
92,새순2농장,산란계,전북특별자치도 김제시 용지면 신정리
93,새순1농장,산란계,전북특별자치도 김제시 용지면 장신리
94,나주농장,산란계,전북특별자치도 김제시 용지면 용수리
95,송삼3농장,산란계,전북특별자치도 김제시 용지면 용수리
96,우리농장,산란계,전북특별자치도 김제시 용지면 신정리
97,사랑농장,산란계,전북특별자치도 김제시 용지면 예촌리
98,억대농장,산란계,전북특별자치도 김제시 용지면 장신리
99,영광농장,산란계,전북특별자치도 김제시 용지면 용수리
100,태영농장2,산란계,전북특별자치도 김제시 용지면 신정리
101,태영농장,산란계,전북특별자치도 김제시 용지면 신정리
102,지안농장,산란계,전북특별자치도 김제시 용지면 신정리
103,일원농장,산란계,전북특별자치도 김제시 용지면 장신리
104,수민농장,산란계,전북특별자치도 김제시 용지면 신정리
105,미송농장,산란계,전북특별자치도 김제시 용지면 용암리
106,미송농장2,산란계,전북특별자치도 김제시 용지면 신정리
107,대영농장,산란계,전북특별자치도 김제시 용지면 효정리
108,철진농장,산란계,전북특별자치도 김제시 용지면 장신리
109,축복농장,육계,전북특별자치도 김제시 백구면 월봉리
110,학동양계장,육계,전북특별자치도 김제시 백구면 석담리
111,다래농장,산란계,전북특별자치도 김제시 백구면 학동리
112,백훈농장,산란계,전북특별자치도 김제시 백구면 학동리
113,대성농장,오리,전북특별자치도 김제시 부량면 대평리
114,선주농장,오리,전북특별자치도 김제시 공덕면 회룡리
115,박의사농장,오리,전북특별자치도 김제시 공덕면 회룡리
116,혜지경농장,오리,전북특별자치도 김제시 공덕면 동계리
117,창훈농장,오리,전북특별자치도 김제시 공덕면 동계리
118,현주농장,육계,전북특별자치도 김제시 공덕면 공덕리
119,공덕농장,산란계,전북특별자치도 김제시 공덕면 제말리
120,이성농장,산란계,전북특별자치도 김제시 공덕면 저산리
121,태성농장,산란계,전북특별자치도 김제시 공덕면 제말리
122,서가네알농장,산란계,전북특별자치도 김제시 공덕면 황산리
123,번지농장,산란계,전북특별자치도 김제시 공덕면 동계리
124,신성농장,산란계,전북특별자치도 김제시 공덕면 공덕리
125,은성축산,산란계,전북특별자치도 김제시 공덕면 동계리
126,한반농장,오리,전북특별자치도 김제시 청하면 장산리
127,대홍농장,육계,전북특별자치도 김제시 청하면 관상리
128,청하농장,육계,전북특별자치도 김제시 청하면 동지산
129,이상농장,육계,전북특별자치도 김제시 청하면 대청리
130,관상농장,육계,전북특별자치도 김제시 청하면 관상리
131,수빈농장,육계,전북특별자치도 김제시 청하면 장산리
132,만석양계장,육계,전북특별자치도 김제시 청하면 대청리
133,규석농장,육계,전북특별자치도 김제시 청하면 관상리
134,수빈농장,육계,전북특별자치도 김제시 청하면 장산리
135,서영농장,육계,전북특별자치도 김제시 성덕면 묘라리
136,환순농장,육계,전북특별자치도 김제시 성덕면 묘라리
137,만경농장,육계,전북특별자치도 김제시 성덕면 성덕리
138,현아농장,육계,전북특별자치도 김제시 진봉면 가실리
139,주식회사 하림,육계,전북특별자치도 김제시 진봉면 가실리
140,금구농장,오리,전북특별자치도 김제시 금구면 낙성리
141,서후남농장,오리,전북특별자치도 김제시 금구면 용복리
142,태성농장1,오리,전북특별자치도 김제시 금구면 산동리
143,닭스팜,육계,전북특별자치도 김제시 금구면 하신리
144,태성농장2,육계,전북특별자치도 김제시 금구면 용지리
145,하늘농장,육계,전북특별자치도 김제시 금구면 용지리
146,시후농장,육계,전북특별자치도 김제시 금구면 낙성리
147,이레농장,육계,전북특별자치도 김제시 금구면 용복리
148,희망농장,육계,전북특별자치도 김제시 금구면 용지리
149,태양농장,육계,전북특별자치도 김제시 금구면 용지리
150,경은농장,육계,전북특별자치도 김제시 금구면 용지리
151,장원농장,육계,전북특별자치도 김제시 금구면 용복리
152,써니농장,육계,전북특별자치도 김제시 금구면 용복리
153,코아페농장,육계,전북특별자치도 김제시 금구면 하신리
154,햇살농장,육계,전북특별자치도 김제시 금구면 옥성리
155,태성농장,육계,전북특별자치도 김제시 금구면 용지리
156,국민산업,육계,전북특별자치도 김제시 금구면 월전리
157,무지개농장,육계,전북특별자치도 김제시 금구면 하신리
158,대길농장,육계,전북특별자치도 김제시 금구면 옥성리
159,대산농장,육계,전북특별자치도 김제시 금구면 하신리
160,덕우농장,산란계,전북특별자치도 김제시 금구면 용지리
161,참진축산,산란계,전북특별자치도 김제시 금구면 하신리
162,햇살농장,산란계,전북특별자치도 김제시 금구면 하신리
163,명진농장,육계,전북특별자치도 김제시 봉남면 평사리
164,실로암농장,육계,전북특별자치도 김제시 봉남면 행촌리
165,임마누엘농장,육계,전북특별자치도 김제시 봉남면 대송리
166,금식농장,육계,전북특별자치도 김제시 황산면 쌍감리
167,대선팜,육계,전북특별자치도 김제시 황산면 남산리
168,시온농장,육계,전북특별자치도 김제시 황산면 쌍감리
169,판이농장,육계,전북특별자치도 김제시 황산면 봉월리
170,명진농장,육계,전북특별자치도 김제시 황산면 쌍감리
171,태용농장,육계,전북특별자치도 김제시 황산면 봉월리
172,쌈바농장,육계,전북특별자치도 김제시 황산면 진흥리
173,선숙농장,육계,전북특별자치도 김제시 황산면 봉월리
174,남양농장,육계,전북특별자치도 김제시 황산면 진흥리
175,하민농장,산란계,전북특별자치도 김제시 황산면 쌍감리
176,유진농장,산란계,전북특별자치도 김제시 황산면 진흥리
177,지평선명품오리농장,오리,전북특별자치도 김제시 금산면 용산리
178,권성윤농장,육계,전북특별자치도 김제시 금산면 용산리
179,은곡안정농원,육계,전북특별자치도 김제시 금산면 장흥리
180,이레농장,육계,전북특별자치도 김제시 금산면 삼봉리
181,청도농장,육계,전북특별자치도 김제시 금산면 청도리
182,구성양계장,육계,전북특별자치도 김제시 금산면 삼봉리
183,연희양계장,육계,전북특별자치도 김제시 금산면 삼봉리
184,은곡안정농원,육계,전북특별자치도 김제시 금산면 장흥리
185,경우농장,육계,전북특별자치도 김제시 금산면 삼봉리
186,용호농장,육계,전북특별자치도 김제시 금산면 용호리
187,김제1농장,육계,전북특별자치도 김제시 금산면 용산리
188,이&장 목장,육계,전북특별자치도 김제시 금산면 선동리
189,평사골양계농장,육계,전북특별자치도 김제시 금산면 용산리
190,비젼통상,육계,전북특별자치도 김제시 금산면 금성리
191,봉황농장,육계,전북특별자치도 김제시 황산동
192,도장농장,육계,전북특별자치도 김제시 도장동
193,오정농장,육계,전북특별자치도 김제시 오정동
194,농업회사법인 대지산업 유한회사,육계,전북특별자치도 김제시 상동동
195,행운농장,육계,전북특별자치도 김제시 상동동
196,화원농장,육계,전북특별자치도 김제시 상동동
197,샘물농장,육계,전북특별자치도 김제시 백학동
198,구구농장,육계,전북특별자치도 김제시 상동동
199,점촌농장,산란계,전북특별자치도 김제시 상동동
200,후초암농장,육계,전북특별자치도 김제시 갈공동
201,똘똘이농장,산란계,전북특별자치도 김제시 제월동
