축산업종류,사업장명칭,주사육업종,사업장소재지,사육두수,데이터기준일자
가축사육업,소망농장,오리,전라북도 부안군 동진면 동전리 1734번지 1735 ,15000,2022-12-05
가축사육업,행복농장,오리,"전라북도 부안군 동진면 동전리 1737번지 외 2필지(1735-1, 1736) ",0,2022-12-05
가축사육업,승리농장,오리,전라북도 부안군 줄포면 장동리 61번지 12호  ,10000,2022-12-05
가축사육업,늘봄농장,육계,전라북도 부안군 상서면 고잔리 515번지 2호  ,65000,2022-12-05
가축사육업,원농장,육계,전라북도 부안군 상서면 고잔리 515번지 4호  ,65000,2022-12-05
가축사육업,성하농장,육계,전라북도 부안군 줄포면 파산리 811번지  ,76000,2022-12-05
가축사육업,이기석농장,육계,전라북도 부안군 행안면 대초리 1037번지 3호  ,60000,2022-12-05
가축사육업,천우농장,육계,"전라북도 부안군 계화면 궁안리 1064번지 1065,1065-1 ",100000,2022-12-05
가축사육업,상우농장,육계,전라북도 부안군 백산면 대죽리 869번지 8호 외 1필(869-13) ,80000,2022-12-05
가축사육업,김명수농장,육계,전라북도 부안군 줄포면 파산리 810번지 5호  ,100000,2022-12-05
가축사육업,다산농장,육계,"전라북도 부안군 보안면 상입석리 631번지 1호 631-2, 631-3, 632-16 ",90000,2022-12-05
가축사육업,산돌농원(제2농장),육계,전라북도 부안군 주산면 사산리 609번지 11호 609-20 ,67000,2022-12-05
가축사육업,더불어참,육계,전라북도 부안군 동진면 안성리 1844번지 10호  ,100000,2022-12-05
가축사육업,강산자연농장,육계,전라북도 부안군 동진면 안성리 1855번지 5호 1855-6 ,70000,2022-12-05
가축사육업,선들농장,육계,전라북도 부안군 보안면 상입석리 937번지  ,88000,2022-12-05
가축사육업,기충열농장,육계,전라북도 부안군 백산면 대죽리 862번지 15호 862-16 ,80000,2022-12-05
가축사육업,신성농장,육계,전라북도 부안군 줄포면 파산리 809번지 10호 외 2필 ,95000,2022-12-05
