축산업종류,사업장명칭,주사육업종,사업장소재지,사육두수,데이터기준일자
가축사육업,후다닭농장,육계,전북특별자치도 부안군 계화면 간재로 677-193,50000,2024-11-19
가축사육업,부안 기러기 농장2,기러기,전북특별자치도 부안군 부안읍 내요리 55번지  ,1000,2024-11-19
가축사육업,에덴농장,육계,전북특별자치도 부안군 행안면 부안로 2255-5,60000,2024-11-19
가축사육업,산돌농원(제1농장),육계,전북특별자치도 부안군 주산면 종유로 271-32,67000,2024-11-19
가축사육업,나래농장2,육계,전북특별자치도 부안군 계화면 새포로 683-193,62000,2024-11-19
가축사육업,나래1농장,육계,전북특별자치도 부안군 계화면 새포로 683-207,64000,2024-11-19
가축사육업,나봄2농장,육계,전북특별자치도 부안군 계화면 새포로 683-197,64000,2024-11-19
가축사육업,나봄1농장,육계,전북특별자치도 부안군 계화면 새포로 683-217,74000,2024-11-19
가축사육업,유림농장,육계,전북특별자치도 부안군 동진면 새포로 895-167,60000,2024-11-19
가축사육업,봉황타조농장,타조,전북특별자치도 부안군 줄포면 파산길 43,39,2024-11-19
가축사육업,동산농장,육계,전북특별자치도 부안군 행안면 부안로 2255-15,65000,2024-11-19
가축사육업,농업회사법인 한스팜(주) 부안지점,종계/산란계,전북특별자치도 부안군 주산면 주산북로 387,151678,2024-11-19
종축업,별이,닭,전북특별자치도 부안군 상서면 부안로 1727,22000,2024-11-19
종축업,골든,닭,전북특별자치도 부안군 진서면 진서리 63번지 4호  ,20000,2024-11-19
종축업,농업회사법인 유한회사 월광,닭,전북특별자치도 부안군 보안면 유관길 256-1,23000,2024-11-19
종축업,성룡농장,닭,전북특별자치도 부안군 보안면 유관길 280,6600,2024-11-19
종축업,백산농장,닭,전북특별자치도 부안군 백산면 하청로 169,64000,2024-11-19
종축업,보경농장,닭,전북특별자치도 부안군 보안면 보안로 527-8,28500,2024-11-19
종축업,신흥농장,닭,전북특별자치도 부안군 부안읍 선돌로 125-40,22000,2024-11-19
종축업,갑도농장,닭,전북특별자치도 부안군 진서면 청자로 1160-38,51900,2024-11-19
종축업,서원농장,닭,전북특별자치도 부안군 보안면 상림로 135,29000,2024-11-19
종축업,가농보안농장,닭,전북특별자치도 부안군 보안면 선돌로 807,110000,2024-11-19
종축업,평교 종계장,닭,전북특별자치도 부안군 부안읍 밖여술길 63-7,14000,2024-11-19
종축업,다산2농장,오리,전북특별자치도 부안군 진서면 청자로 736-46,5500,2024-11-19
종축업,다산1농장,오리,전북특별자치도 부안군 진서면 청자로 736-50,5500,2024-11-19
종축업,증산농장,닭,"전북특별자치도 부안군 동진면 증산길 78, 증산농장",31000,2024-11-19
종축업,진서1농장,오리,"전북특별자치도 부안군 진서면 소운호길 29, 진서종계장 1~8동",10800,2024-11-19
종축업,진서2농장,오리,"전북특별자치도 부안군 진서면 소운호길 29, 진서종계장 9~11동",7800,2024-11-19
