시도명,시군명,농장명,축종명,상세구분,사육두수(마리),소재지지번주소,WGS84위도,WGS84경도,조사날짜,감염날짜
경기도,안성시,둥지농장,오리,,17000.0,"경기도 안성시 보개면 내방리 228번지 4호 외 4필지(228-5,-6,229,52)",37.0203578,127.3125372,2020-11-30,2021-01-13
경기도,안성시,드림팜,닭,육계,90000.0,"경기도 안성시 미양면 법전리 55번지 외 2필지(52번지, 52-1번지)",36.9466133,127.2144673,2021-04-30,2021-01-29
경기도,안성시,만우농장,닭,육계,30000.0,경기도 안성시 보개면 적가리 194번지,37.0527134,127.2842037,2020-07-31,2021-01-13
경기도,안성시,명근농장,닭,산란계,35000.0,경기도 안성시 양성면 장서리 407번지 9호,37.094719654,127.2039239949,2021-06-30,2021-01-29
경기도,안성시,부원농장,닭,육계,50000.0,경기도 안성시 서운면 양촌리 120번지,36.9451181769,127.2788747833,2021-06-30,2021-01-28
경기도,안성시,북좌농장,닭,육계,20000.0,경기도 안성시 보개면 북좌리 50번지,37.0419676,127.3349822,2020-07-31,2021-01-13
경기도,안성시,사오농장,닭,육계,100000.0,경기도 안성시 보개면 남풍리 243번지,37.0669972457,127.3246304634,2021-06-30,2021-01-28
경기도,안성시,삼학농장,닭,산란계,45000.0,경기도 안성시 일죽면 화봉리 191번지,37.0639636,127.4821902,2020-11-30,2020-12-08
경기도,안성시,상록농장,닭,육계,66500.0,"경기도 안성시 금광면 현곡리 137번지 외 2필지(141, 142)",36.9815578,127.3484781,2021-04-30,2021-01-28
경기도,안성시,상록농장,닭,육계,66500.0,"경기도 안성시 금광면 현곡리 137번지 외 2필지(141, 142)",36.9816912774,127.3487484619,2021-06-30,2021-01-28
경기도,안성시,상수리숲농장,닭,산란계,1500.0,경기도 안성시 양성면 방신리 68번지 2호,37.0356464205,127.1753796345,2021-06-30,2021-01-29
경기도,안성시,서부농장,닭,육계,14500.0,경기도 안성시 원곡면 성주리 321번지 1호,37.0889457894,127.1523558141,2021-06-30,2021-01-29
경기도,안성시,서운농장,닭,산란계,250000.0,경기도 안성시 서운면 신촌리 280번지 2호 외 1필지,36.9342969441,127.2628706116,2021-06-30,2021-01-28
경기도,안성시,석우농장,닭,육계,73000.0,경기도 안성시 보개면 양복리 696번지 외2필지,37.0121069931,127.3114250981,2021-06-30,2021-01-28
경기도,안성시,석찬 농장,닭,육계,50000.0,경기도 안성시 고삼면 신창리 362번지,37.0749075,127.2426554,2020-11-30,2021-01-28
경기도,안성시,선일농장,닭,육계,80000.0,경기도 안성시 금광면 사흥리 131번지 1호,37.0010372595,127.3726494768,2021-06-30,2021-01-28
경기도,안성시,성공농장,닭,육계,40000.0,경기도 안성시 서운면 현매리 116번지 2호,36.9405289,127.2302449,2020-07-31,2020-12-15
경기도,안성시,성은농장,닭,육계,4000.0,경기도 안성시 서운면 송산리 211번지 1호,36.9418056,127.2363218,2020-11-30,2020-12-15
경기도,안성시,세원농장,닭,산란계,3000.0,경기도 안성시 공도읍 용두리 378번지 2호,37.0156586,127.165386,2020-07-31,2020-12-15
경기도,안성시,세원농장,닭,산란계,3000.0,경기도 안성시 공도읍 용두리 378번지 2호,37.0156586334,127.1653860886,2021-06-30,2021-01-29
경기도,안성시,수지 토종농장,닭,육계,1000.0,경기도 안성시 일죽면 신흥리 산 11번지 1호,37.1225944,127.484495,2021-04-30,2021-02-02
경기도,안성시,수지농장,닭,육계,130000.0,경기도 안성시 미양면 정동리 504번지 4호 외 1필지(504-5),36.9767503,127.1956042,2020-11-30,2020-12-15
