시군명,농장명,축종명,상세구분,사육두수(마리),소재지지번주소,WGS84위도,WGS84경도,조사날짜,감염날짜,coord_precision
음성군,진영농장,닭,종계/산란계,16000.0,충청북도 음성군 삼성면 상곡리 7번지 1호,37.0114524779667,127.45613311285,2021-01-31,2021-01-14,approx_address_dong
음성군,진영농장,닭,종계/산란계,17000.0,충청북도 음성군 삼성면 상곡리 7번지 1호,37.0114524779667,127.45613311285,2021-01-31,2021-01-14,approx_address_dong
음성군,한마음농장,오리,,16000.0,충청북도 음성군 맹동면 마산리 산 21번지 10호,36.91623920248186,127.56943118395604,2021-01-31,2021-01-14,approx_keyword_dong
음성군,한삼농장,오리,,20000.0,충청북도 음성군 금왕읍 유포리 548번지,36.9627026701274,127.547739278689,2021-01-31,2021-01-14,approx_address_dong
음성군,형제농장,닭,육계,100000.0,충청북도 음성군 소이면 비산리 963번지,36.9415090450149,127.727711408992,2021-01-31,2021-01-14,approx_address
음성군,-,닭,육계,55000.0,충청북도 음성군 소이면 중동리 371번지 2호,36.8924657690638,127.777687218808,2021-01-31,2021-01-19,approx_address_dong
음성군,기흥농장,닭,종계/산란계,21000.0,충청북도 음성군 생극면 송곡리 417번지 6호,37.0572448189202,127.590531258944,2021-01-31,2021-01-19,approx_address
음성군,대동농장,메추리,,40000.0,충청북도 음성군 소이면 금고리 527번지 1호,36.9189677719651,127.746408006928,2021-01-31,2021-01-19,approx_address
음성군,벧엘농장,닭,종계/산란계,5500.0,충청북도 음성군 생극면 임곡리 34번지 1호,37.0677344986038,127.586664812112,2021-01-31,2021-01-19,approx_address
음성군,복숭아농장,닭,육계,150.0,충청북도 음성군 음성읍 신천리 918번지,36.9214444930346,127.666110336083,2021-01-31,2021-01-19,approx_address
음성군,부윤농장,오리,,7000.0,충청북도 음성군 대소면 부윤리 산 73번지,36.9436440084619,127.51862789133,2021-01-31,2021-01-19,approx_address
음성군,삼용농장,오리,,12000.0,충청북도 음성군 원남면 삼용리 284번지,36.8890149719747,127.608188578834,2021-01-31,2021-01-19,approx_address
음성군,상당농장,닭,육계,40000.0,충청북도 음성군 원남면 상당리 475번지 1호,36.8980135073222,127.671848265261,2021-01-31,2021-01-19,approx_address
음성군,상미양계장,닭,육계,50000.0,충청북도 음성군 원남면 마송리 76번지 2호,36.8874226856089,127.670821011094,2021-01-31,2021-01-19,approx_address
음성군,서원농장,닭,육계,80000.0,충청북도 음성군 금왕읍 호산리 925번지,37.0385154808169,127.555732701501,2021-01-31,2021-01-19,approx_address
음성군,석우농장,닭,종계/산란계,200000.0,충청북도 음성군 감곡면 상우리 3번지,37.1248439622571,127.681448183511,2021-01-31,2021-01-19,approx_address
음성군,에덴농원,닭,육계,200.0,충청북도 음성군 금왕읍 오선리 390번지,36.9716799175428,127.554396386971,2021-01-31,2021-01-19,approx_address
음성군,열희농장,닭,육계,100000.0,충청북도 음성군 원남면 보천리 198번지,36.8766559022298,127.633957040025,2021-01-31,2021-01-19,approx_address
음성군,이레농장,닭,종계/산란계,8500.0,충청북도 음성군 생극면 임곡리 258번지 1호,37.0631645195913,127.579623600662,2021-01-31,2021-01-19,approx_address_dong
음성군,일승오리농장,오리,,13000.0,충청북도 음성군 금왕읍 각회리 553번지,37.00224867317,127.570960881702,2021-01-31,2021-01-19,approx_address
음성군,자연농장,닭,종계/산란계,15000.0,충청북도 음성군 생극면 임곡리 100번지 4호 외 1필지,37.0641784339882,127.58767286491,2021-01-31,2021-01-19,approx_address
음성군,중원농장,닭,육계,135000.0,충청북도 음성군 금왕읍 오선리 468번지 2호,36.9771376282351,127.555843330057,2021-01-31,2021-01-19,approx_address
음성군,진영농장,닭,종계/산란계,16000.0,충청북도 음성군 삼성면 상곡리 7번지 1호,37.0114524779667,127.45613311285,2021-01-31,2021-01-19,approx_address_dong
음성군,진영농장,닭,종계/산란계,17000.0,충청북도 음성군 삼성면 상곡리 7번지 1호,37.0114524779667,127.45613311285,2021-01-31,2021-01-19,approx_address_dong
음성군,한마음농장,오리,,16000.0,충청북도 음성군 맹동면 마산리 산 21번지 10호,36.91623920248186,127.56943118395604,2021-01-31,2021-01-19,approx_keyword_dong
음성군,한삼농장,오리,,20000.0,충청북도 음성군 금왕읍 유포리 548번지,36.9627026701274,127.547739278689,2021-01-31,2021-01-19,approx_address_dong
음성군,형제농장,닭,육계,100000.0,충청북도 음성군 소이면 비산리 963번지,36.9415090450149,127.727711408992,2021-01-31,2021-01-19,approx_address
음성군,-,닭,육계,55000.0,충청북도 음성군 소이면 중동리 371번지 2호,36.8924657690638,127.777687218808,2021-01-31,2021-02-10,approx_address_dong
음성군,기흥농장,닭,종계/산란계,21000.0,충청북도 음성군 생극면 송곡리 417번지 6호,37.0572448189202,127.590531258944,2021-01-31,2021-02-10,approx_address
음성군,대동농장,메추리,,40000.0,충청북도 음성군 소이면 금고리 527번지 1호,36.9189677719651,127.746408006928,2021-01-31,2021-02-10,approx_address
음성군,벧엘농장,닭,종계/산란계,5500.0,충청북도 음성군 생극면 임곡리 34번지 1호,37.0677344986038,127.586664812112,2021-01-31,2021-02-10,approx_address
음성군,복숭아농장,닭,육계,150.0,충청북도 음성군 음성읍 신천리 918번지,36.9214444930346,127.666110336083,2021-01-31,2021-02-10,approx_address
음성군,부윤농장,오리,,7000.0,충청북도 음성군 대소면 부윤리 산 73번지,36.9436440084619,127.51862789133,2021-01-31,2021-02-10,approx_address
음성군,삼용농장,오리,,12000.0,충청북도 음성군 원남면 삼용리 284번지,36.8890149719747,127.608188578834,2021-01-31,2021-02-10,approx_address
음성군,상당농장,닭,육계,40000.0,충청북도 음성군 원남면 상당리 475번지 1호,36.8980135073222,127.671848265261,2021-01-31,2021-02-10,approx_address
음성군,상미양계장,닭,육계,50000.0,충청북도 음성군 원남면 마송리 76번지 2호,36.8874226856089,127.670821011094,2021-01-31,2021-02-10,approx_address
음성군,서원농장,닭,육계,80000.0,충청북도 음성군 금왕읍 호산리 925번지,37.0385154808169,127.555732701501,2021-01-31,2021-02-10,approx_address
음성군,석우농장,닭,종계/산란계,200000.0,충청북도 음성군 감곡면 상우리 3번지,37.1248439622571,127.681448183511,2021-01-31,2021-02-10,approx_address
음성군,에덴농원,닭,육계,200.0,충청북도 음성군 금왕읍 오선리 390번지,36.9716799175428,127.554396386971,2021-01-31,2021-02-10,approx_address
음성군,열희농장,닭,육계,100000.0,충청북도 음성군 원남면 보천리 198번지,36.8766559022298,127.633957040025,2021-01-31,2021-02-10,approx_address
음성군,이레농장,닭,종계/산란계,8500.0,충청북도 음성군 생극면 임곡리 258번지 1호,37.0631645195913,127.579623600662,2021-01-31,2021-02-10,approx_address_dong
음성군,일승오리농장,오리,,13000.0,충청북도 음성군 금왕읍 각회리 553번지,37.00224867317,127.570960881702,2021-01-31,2021-02-10,approx_address
음성군,자연농장,닭,종계/산란계,15000.0,충청북도 음성군 생극면 임곡리 100번지 4호 외 1필지,37.0641784339882,127.58767286491,2021-01-31,2021-02-10,approx_address
음성군,중원농장,닭,육계,135000.0,충청북도 음성군 금왕읍 오선리 468번지 2호,36.9771376282351,127.555843330057,2021-01-31,2021-02-10,approx_address
음성군,진영농장,닭,종계/산란계,16000.0,충청북도 음성군 삼성면 상곡리 7번지 1호,37.0114524779667,127.45613311285,2021-01-31,2021-02-10,approx_address_dong
음성군,진영농장,닭,종계/산란계,17000.0,충청북도 음성군 삼성면 상곡리 7번지 1호,37.0114524779667,127.45613311285,2021-01-31,2021-02-10,approx_address_dong
음성군,한마음농장,오리,,16000.0,충청북도 음성군 맹동면 마산리 산 21번지 10호,36.91623920248186,127.56943118395604,2021-01-31,2021-02-10,approx_keyword_dong
음성군,한삼농장,오리,,20000.0,충청북도 음성군 금왕읍 유포리 548번지,36.9627026701274,127.547739278689,2021-01-31,2021-02-10,approx_address_dong
음성군,형제농장,닭,육계,100000.0,충청북도 음성군 소이면 비산리 963번지,36.9415090450149,127.727711408992,2021-01-31,2021-02-10,approx_address
음성군,개나리농장,닭,육계,60000.0,충청북도 음성군 금왕읍 내송리 301번지,36.9935390887351,127.565071034554,2022-02-07,2021-11-22,exact
음성군,건영농장 2,오리,,5000.0,충청북도 음성군 맹동면 마산리 425번지,36.9366494962001,127.554983736816,2022-02-07,2022-02-08,exact
음성군,골든팜,닭,육계,70000.0,충청북도 음성군 맹동면 용촌리 775번지,36.9321796421993,127.522512866118,2022-02-07,2022-02-08,exact
음성군,기쁨농장,닭,육계,40000.0,충청북도 음성군 금왕읍 봉곡리 141번지 1호,36.9620723228754,127.577324779871,2022-02-07,2021-11-10,approx_address_dong
음성군,남율농장,닭,육계,50000.0,충청북도 음성군 소이면 문등리 196번지 외 2필지,36.9078530716869,127.787206465525,2022-02-07,2021-11-10,approx_address_single_parcel
음성군,농업회사법인 (주) 조하 삼성지점,닭,종계/산란계,255381.0,충청북도 음성군 삼성면 능산리 360번지 1호,37.0362467833446,127.532185338097,2022-02-07,2021-11-22,exact
음성군,농업회사법인 주식회사 에버그린(금왕지점),메추리,,1084800.0,충청북도 음성군 금왕읍 신평리 307번지 외 12필지,36.9918150019303,127.542151677385,2022-02-07,2022-01-22,exact
음성군,농업회사법인(주)동일농장 삼성지점,닭,종계/산란계,15000.0,충청북도 음성군 삼성면 대정리 562번지,37.0287798645394,127.519734828122,2022-02-07,2021-11-22,exact
음성군,농업회사법인(주)동일농장 생극지점,닭,종계/산란계,30200.0,충청북도 음성군 생극면 팔성리 520번지 1호,37.043637506303,127.583872485458,2022-02-07,2021-11-10,approx_address_dong
음성군,농업회사법인주식회사알부자,닭,종계/산란계,32000.0,충청북도 음성군 원남면 하노리 208번지 외2필지,36.9039609440561,127.698006354709,2022-02-07,2021-02-18,exact
음성군,대성농장,닭,육계,50000.0,충청북도 음성군 금왕읍 본대리 29번지,36.9845088550495,127.526186235014,2022-02-07,2022-01-22,exact
음성군,대성농장 2농장,닭,육계,70000.0,충청북도 음성군 맹동면 마산리 290번지,36.9366494962001,127.554983736816,2022-02-07,2022-02-08,exact
