시군명,농장명,축종명,상세구분,사육두수(마리),소재지지번주소,WGS84위도,WGS84경도,조사날짜,coord_precision
음성군,두재농장,오리,,18000.0,충청북도 음성군 삼성면 청용리 489번지 3호,36.9915371258289,127.462696188411,2022-02-07,exact
음성군,류가네농장,오리,,7200.0,충청북도 음성군 맹동면 봉현리 300번지 2호,36.9400365101496,127.540359882113,2022-02-07,exact
음성군,류봉농장,오리,,7000.0,충청북도 음성군 맹동면 봉현리 463번지 5호,36.9429594116729,127.540404321725,2022-02-07,exact
음성군,류봉농장3,닭,육계,56000.0,충청북도 음성군 맹동면 봉현리 200번지 2호 외 1필지,36.9431951957411,127.538903499574,2022-02-07,exact
음성군,매봉농장,오리,,20000.0,충청북도 음성군 금왕읍 본대리 산 7번지 4호,36.9863427706465,127.536083773134,2022-02-07,exact
음성군,미곡농장,닭,육계,56000.0,충청북도 음성군 대소면 미곡리 402번지,36.9394562190605,127.47002858252,2022-02-07,exact
음성군,민섭민준이네농장,닭,육계,55000.0,충청북도 음성군 맹동면 용촌리 604번지,36.9261249928712,127.519246694417,2022-02-07,exact
음성군,민지농장,닭,육계,46000.0,충청북도 음성군 맹동면 봉현리 706번지 외 1필지,36.9342186070399,127.530724173265,2022-02-07,exact
음성군,벧엘농장,닭,육계,50000.0,충청북도 음성군 삼성면 청용리 271번지,36.9984214963589,127.469129678029,2022-02-07,exact
음성군,벧엘농장,닭,종계/산란계,27576.0,충청북도 음성군 생극면 임곡리 34번지 1호,37.0677344986038,127.586664812112,2022-02-07,exact
음성군,보람농장,닭,육계,26000.0,충청북도 음성군 대소면 부윤리 248번지,36.9518798778983,127.531830083045,2022-02-07,exact
음성군,부광원,오리,,11900.0,충청북도 음성군 맹동면 용촌리 200번지 5호 외 2필지,36.9321796421993,127.522512866118,2022-02-07,exact
음성군,삼원농장,닭,종계/산란계,77000.0,충청북도 음성군 소이면 충도리 502번지,36.8849464017763,127.728416228625,2022-02-07,exact
음성군,새봉암농장,오리,,9000.0,충청북도 음성군 맹동면 봉현리 504번지,36.9393869727116,127.533692548492,2022-02-07,exact
음성군,서당골오리농장,오리,,24000.0,충청북도 음성군 맹동면 봉현리 471번지,36.9453477003229,127.532510006467,2022-02-07,exact
음성군,석우농장,닭,산란중추,218016.0,충청북도 음성군 감곡면 상우리 3번지,37.1248439622571,127.681448183511,2022-02-07,exact
음성군,성은농장,닭,육계,40000.0,충청북도 음성군 감곡면 상평리 520번지,37.0686020049075,127.630064710295,2022-02-07,exact
음성군,세움팜스,닭,육계,130000.0,충청북도 음성군 대소면 수태리 125번지 외 8필지,36.9369742444381,127.517482855977,2022-02-07,exact
음성군,솔그린농장,닭,육계,50000.0,충청북도 음성군 감곡면 문촌리 448번지 3호 외 4필지,37.1208514757822,127.700226789905,2022-02-07,exact
음성군,신우농장,오리,,10000.0,충청북도 음성군 맹동면 봉현리 693번지,36.9360280883212,127.529346734779,2022-02-07,exact
음성군,안골농장,닭,육계,85000.0,충청북도 음성군 삼성면 대정리 553번지 외 2필지,37.0346538382295,127.522359931778,2022-02-07,exact
음성군,알부자제2농장,닭,종계/산란계,60000.0,충청북도 음성군 금왕읍 용계리 413번지,36.9779512934042,127.580398491845,2022-02-07,exact
음성군,왕봉농장,닭,육계,20000.0,충청북도 음성군 맹동면 봉현리 193번지 5호,36.9433414926802,127.545307849913,2022-02-07,exact
음성군,월연농장,닭,종계/산란계,350000.0,충청북도 음성군 생극면 임곡리 145번지,37.0608702896849,127.588307777765,2022-02-07,exact
