시도명,시군명,농장명,축종명,상세구분,사육두수(마리),소재지지번주소,WGS84위도,WGS84경도,조사날짜
경기도,남양주시,지둔농장,닭,육계,15000.0,경기도 남양주시 수동면 지둔리 315번지,37.7177747617,127.2987669768,2020-05-31
경기도,남양주시,차산농장,닭,육계,30.0,경기도 남양주시 화도읍 차산리 산 67번지 22호,37.629394949,127.2858304935,2020-04-30
경기도,남양주시,차산농장,닭,육계,30.0,경기도 남양주시 화도읍 차산리 산 67번지 22호,37.6296807755,127.2867109122,2021-09-30
경기도,남양주시,채율농장,닭,산란계,700.0,경기도 남양주시 화도읍 가곡리 74번지 1호,37.6892440593,127.3083244272,2021-09-30
경기도,남양주시,채율농장,닭,산란계,500.0,경기도 남양주시 화도읍 가곡리 74번지 1호,37.6892440593,127.3083244272,2020-05-31
경기도,남양주시,춘추농장,닭,산란계,90.0,경기도 남양주시 별내면 청학리 85번지,37.7112389216,127.1302620258,2021-11-30
경기도,남양주시,태양농원,닭,산란계,12000.0,경기도 남양주시 화도읍 차산리 183번지 13호,37.6312788455,127.3036915474,2021-04-30
경기도,남양주시,평화농장,닭,육계,,경기도 남양주시 진건읍 배양리 555번지,37.6311924557,127.1700587482,2021-04-30
경기도,남양주시,평화농장,닭,육계,,경기도 남양주시 진건읍 배양리 555번지,37.6314135862,127.1701878293,2021-11-30
경기도,남양주시,한솔농원,닭,산란계,3000.0,"경기도 남양주시 수동면 송천리 428번지 ,428-1",37.6909717858,127.3292949061,2020-06-30
경기도,남양주시,한솔농장,닭,산란계,6000.0,"경기도 남양주시 조안면 송촌리 954번지 ,산18",37.5771780581,127.3198770819,2020-01-31
경기도,남양주시,현대농장,닭,산란계,9162.0,경기도 남양주시 화도읍 답내리 475번지 5호,37.6596094058,127.3406265394,2021-06-30
