시군명,농장명,축종명,상세구분,사육두수(마리),소재지지번주소,WGS84위도,WGS84경도,조사날짜,감염날짜,coord_precision
아산시,배미농장,닭,육계,30000,충청남도 아산시 신창면 남성리 69-6,36.7938042785061,126.963803725767,2025-05-01,2025-04-20,approx_address
아산시,백운농장,오리,,31980,충청남도 아산시 둔포면 신남리 681-10 외 2(681-11/ 678-2),36.9061025916062,127.015672175052,2025-05-01,2025-04-20,approx_address
아산시,보리원농장,닭,종계/산란계,18000,충청남도 아산시 인주면 모원리 189-외 3필지(189-1/190/190-1),36.8862913007684,126.932198278015,2025-05-01,2025-04-20,approx_address_single_parcel
아산시,산들농장,닭,육계,50000,충청남도 아산시 염치읍 산양리 584,36.8247485849996,126.91088874027,2025-05-01,2025-04-20,approx_address
아산시,산마루식당,닭,육계,30,충청남도 아산시 도고면 농은리 298,36.7031943404666,126.919475994017,2025-05-01,2025-04-20,approx_address
아산시,삼봉농장,닭,종계/산란계,30000,충청남도 아산시 도고면 화천리 45,36.7220545785872,126.922377909671,2025-05-01,2025-04-20,approx_address
아산시,삼진농장,닭,육계,50000,충청남도 아산시 인주면 도흥리 1-6,36.8441513914825,126.907912637411,2025-05-01,2025-04-20,approx_address
아산시,상미농장,닭,육계,50000,충청남도 아산시 도고면 금산리 69-6 외 1필지,36.7400915901064,126.886516448751,2025-05-01,2025-04-20,approx_address_single_parcel
아산시,서유농원,닭,종계/산란계,18000,충청남도 아산시 둔포면 관대리 65-3,36.911493845786,127.037455645947,2025-05-01,2025-04-20,approx_address
아산시,성내가든,닭,육계,30,충청남도 아산시 영인면 성내리 459-5,36.8799443650213,126.983928018433,2025-05-01,2025-04-20,approx_address
아산시,성윤농원,닭,종계/산란계,20000,충청남도 아산시 신창면 가내리 380-1,36.8103668577887,126.8933533522,2025-05-01,2025-04-20,approx_address
아산시,수봉농원,닭,종계/산란계,50000,충청남도 아산시 음봉면 동천리 85-1,36.8361346972174,127.017181615958,2025-05-01,2025-04-20,approx_address
아산시,수장농장,닭,육계,30000,충청남도 아산시 신창면 수장리 275-11,36.7996895881658,126.967073198368,2025-05-01,2025-04-20,approx_address
아산시,수정농장,닭,종계/산란계,13000,충청남도 아산시 영인면 창용리 131-2 외 1필지(131-3),36.9045351819,126.976433984161,2025-05-01,2025-04-20,approx_address_single_parcel
아산시,시전농장,닭,육계,38000,충청남도 아산시 도고면 금산리 산 28-1 도고면 금산리 69-2 69-1,36.7397221084093,126.885834010557,2025-05-01,2025-04-20,approx_address_single_parcel
아산시,신명축산,닭,육계,60000,충청남도 아산시 선장면 죽산리 121-3,36.7801537833626,126.91121764999,2025-05-01,2025-04-20,approx_address
아산시,신창농장,닭,종계/산란계,24000,충청남도 아산시 신창면 가내리 978,36.8060533542814,126.899700294153,2025-05-01,2025-04-20,approx_address
아산시,아산농장,닭,종계/산란계,30000,충청남도 아산시 영인면 창용리 105-9,36.9070760159982,126.979932870988,2025-05-01,2025-04-20,approx_address
아산시,아산이레농장,닭,육계,13764,충청남도 아산시 음봉면 쌍룡리 107-1,36.8853034985328,127.073148191378,2025-05-01,2025-04-20,approx_address
아산시,안골농원,닭,육계,60000,충청남도 아산시 영인면 성내리 287-6,36.8731184824477,126.992656855793,2025-05-01,2025-04-20,approx_address
아산시,연호농장,닭,종계/산란계,6500,충청남도 아산시 둔포면 신양리 76-1,36.8892806328689,127.059331905714,2025-05-01,2025-04-20,approx_address
아산시,영월농장,닭,육계,70000,충청남도 아산시 배방읍 북수리 472-4,36.7833358430073,127.07131193576,2025-05-01,2025-04-20,approx_address
아산시,우림농원,닭,종계/산란계,40000,충청남도 아산시 선장면 죽산리 103-5,36.7748036647946,126.920634897902,2025-05-01,2025-04-20,approx_address
아산시,원농장,닭,육계,300000,충청남도 아산시 신창면 남성리 693,36.8047044751523,126.949410461781,2025-05-01,2025-04-20,approx_address
아산시,유아농장,닭,육계,36000,충청남도 아산시 둔포면 산전리 36,36.8987284478543,127.046879720498,2025-05-01,2025-04-20,approx_address
아산시,융진농장,닭,육계,110000,충청남도 아산시 도고면 효자리 143-21외 2필지,36.7403923978695,126.868331506694,2025-05-01,2025-04-20,approx_address_single_parcel
아산시,음봉양계장,닭,종계/산란계,18000,충청남도 아산시 음봉면 삼거리 183-5,36.8480882427475,127.017120829202,2025-05-01,2025-04-20,approx_address
아산시,인광농장,닭,육계,25000,충청남도 아산시 도고면 신통리 91-1,36.7645153481432,126.903125623963,2025-05-01,2025-04-20,approx_address
아산시,인해농원,닭,종계/산란계,15000,충청남도 아산시 영인면 창용리 39,36.913406846005,126.981600114131,2025-05-01,2025-04-20,approx_address
아산시,재연농장,닭,육계,60000,충청남도 아산시 염치읍 중방리 95-10,36.8157457700971,126.957915850245,2025-05-01,2025-04-20,approx_address
아산시,진수농장,닭,육계,500,충청남도 아산시 선장면 죽산리 331-1,36.7854722804681,126.903498304626,2025-05-01,2025-04-20,approx_address
아산시,창원농장,닭,육계,25000,충청남도 아산시 둔포면 신양리 218-1,36.8870959744195,127.052712878865,2025-05-01,2025-04-20,approx_address
아산시,창의농장,닭,육계,80000,충청남도 아산시 도고면 시전리 350-1,36.7493301646294,126.893957348921,2025-05-01,2025-04-20,approx_address
아산시,청송농원,닭,육계,40000,충청남도 아산시 배미동 185-1,36.7898147233005,126.973119141605,2025-05-01,2025-04-20,approx_address
아산시,초록농장,닭,종계/산란계,200,충청남도 아산시 선장면 군덕리 459-7,36.7943660918584,126.863321258554,2025-05-01,2025-04-20,approx_address
아산시,초원충남사료 영농조합법인(아산지소),닭,종계/산란계,15000,충청남도 아산시 둔포면 신양리 255-2,36.8905602417935,127.055114881296,2025-05-01,2025-04-20,approx_address
아산시,통일청란,닭,종계/산란계,12700,충청남도 아산시 둔포면 산전리 390-8,36.8901972336134,127.037409676676,2025-05-01,2025-04-20,approx_address
아산시,평택농장,닭,육계,23680,충청남도 아산시 둔포면 신양리 305-15,36.8901648552473,127.049555111941,2025-05-01,2025-04-20,approx_address
아산시,한미농장,닭,종계/산란계,42406,충청남도 아산시 음봉면 덕지리 26-4,36.8371402853653,127.082585248526,2025-05-01,2025-04-20,approx_address
아산시,한일농장,닭,육계,24480,충청남도 아산시 도고면 신통리 95-1,36.765540008625,126.906275058369,2025-05-01,2025-04-20,approx_address
아산시,향원농장,닭,육계,50000,충청남도 아산시 신창면 남성리 675-1,36.8073306988683,126.948208990959,2025-05-01,2025-04-20,approx_address
아산시,현광1농장,닭,육계,20000,충청남도 아산시 초사동 261-1,36.746368900619,126.983729953966,2025-05-01,2025-04-20,approx_address
아산시,현광2농장,닭,육계,45000,충청남도 아산시 장존동 산38-35,36.7483260182876,126.994073513598,2025-05-01,2025-04-20,approx_address
아산시,현민농장,닭,육계,55000,충청남도 아산시 신창면 가덕리 44-1,36.8152482870734,126.931581816948,2025-05-01,2025-04-20,approx_address
