사업장명칭,등록축종,사업장소재지(지번),사업장소재지(도로명),사육두수,동수,면적,데이터기준일자
중부농장,오리,충청북도 음성군 맹동면 마산리 530번지 2호  ,충청북도 음성군 맹동면 대동로235번길 35,10000,7,2984,2023-04-21
농업회사법인(주)동일농장 삼성지점,종계/산란계,충청북도 음성군 삼성면 대정리 562번지  ,충청북도 음성군 삼성면 대정길 47,15000,3,1663,2023-04-21
대왕농장1,오리,충청북도 음성군 맹동면 봉현리 300번지 2호  ,충청북도 음성군 맹동면 봉현로 195,7200,1,1776,2023-04-21
농업회사법인 주식회사 알로팜 용계지점,종계/산란계,충청북도 음성군 금왕읍 용계리 413번지  ,충청북도 음성군 금왕읍 오룡길 57-51,0,4,6198.9,2023-04-21
두리농장,육계,충청북도 음성군 맹동면 신돈리 51번지 3호  ,충청북도 음성군 맹동면 원중로 1553,68000,8,3081.6,2023-04-21
우화농장,종계/산란계,충청북도 음성군 음성읍 용산리 75번지 1호  ,충청북도 음성군 음성읍 용광로114번길 103-44,322560,4,8336,2023-04-21
서원농장,육계,충청북도 음성군 금왕읍 호산리 925번지  ,충청북도 음성군 금왕읍 생삼로 486-52,80000,3,3808,2023-04-21
대박농장,오리,충청북도 음성군 맹동면 용촌리 69번지  ,,9500,2,2349,2023-04-21
대성농장,육계,충청북도 음성군 맹동면 봉현리 258번지 외 4필지 ,충청북도 음성군 맹동면 대동로 264-39 (외 4필지),119000,10,5564,2023-04-21
농업회사법인주식회사 동일농장,종계/산란계,충청북도 음성군 대소면 삼호리 454번지  ,충청북도 음성군 대소면 삼양로 918-27,0,4,4521,2023-04-21
한솔제1농장,산란육성계,충청북도 음성군 소이면 충도리 501번지  ,,165000,2,4898.88,2023-04-21
왕봉농장,오리,충청북도 음성군 맹동면 봉현리 193번지 5호  ,충청북도 음성군 맹동면 대동로 288-53,6400,3,1595.5,2023-04-21
일승오리농장,오리,충청북도 음성군 금왕읍 각회리 553번지  ,충청북도 음성군 금왕읍 각구실길223번길 87-55,13000,9,4196,2023-04-21
준희농장,육계,충청북도 음성군 맹동면 봉현리 695번지  ,충청북도 음성군 맹동면 용촌길 183-55,80000,14,5695,2023-04-21
미곡농장,육계,충청북도 음성군 대소면 미곡리 402번지   401-1  401-2 ,충청북도 음성군 대소면 오태로116번길 349-12,56000,2,2627,2023-04-21
류봉농장3,육계,충청북도 음성군 맹동면 봉현리 200번지 2호 외 1필지(200-1) ,,56000,4,3190,2023-04-21
두재농장,오리,충청북도 음성군 삼성면 청용리 489번지 3호  ,,18000,5,3600,2023-04-21
골든팜,육계,충청북도 음성군 맹동면 용촌리 775번지  ,충청북도 음성군 맹동면 봉현로 48-47,70000,2,3256,2023-04-21
한삼농장,오리,충청북도 음성군 금왕읍 유포리 548번지  ,,20000,6,2340,2023-04-21
건영농장,육계,충청북도 음성군 맹동면 마산리 388번지 1호  ,,12000,10,3500,2023-04-21
열희농장,육계,충청북도 음성군 원남면 보천리 198번지  ,충청북도 음성군 원남면 원중로 133-55  133-49,100000,10,5213,2023-04-21
대길농장,육계,충청북도 음성군 맹동면 봉현리 681번지  ,충청북도 음성군 맹동면 봉현로 48-39,100000,5,5233,2023-04-21
영현농장,오리,충청북도 음성군 맹동면 봉현리 679번지 외 1필지 ,충청북도 음성군 맹동면 봉현로 48-29,19000,6,4791.2,2023-04-21
하얀구름,육계,충청북도 음성군 맹동면 봉현리 170번지 2호 외 2필지 ,,40000,3,2520,2023-04-21
월연농장,종계/산란계,충청북도 음성군 생극면 임곡리 145번지  ,충청북도 음성군 생극면 임곡길 183,350000,6,26213,2023-04-21
윤호농장,오리,충청북도 음성군 맹동면 봉현리 686번지  ,,10000,10,3736,2023-04-21
농업회사법인 세양(주) 음성농장,종계/산란계,충청북도 음성군 삼성면 용대리 231번지  ,충청북도 음성군 삼성면 덕호로415번길 33-78,165888,1,8709.12,2023-04-21
정일농장,오리,충청북도 음성군 맹동면 봉현리 291번지  ,충청북도 음성군 맹동면 봉현로 181,10000,9,3336,2023-04-21
하나농장,오리,충청북도 음성군 금왕읍 용계리 405번지  ,충청북도 음성군 금왕읍 오룡길 57-39,6800,5,2368.8,2023-04-21
향촌농장,오리,충청북도 음성군 삼성면 천평리 727번지 3호  ,,11000,6,2968,2023-04-21
짱구2농장,오리,충청북도 음성군 맹동면 봉현리 694번지  ,충청북도 음성군 맹동면 용촌길 183-50,27512,18,6768,2023-04-21
세움팜스,육계,충청북도 음성군 대소면 수태리 125번지 외 8필지(122 123 124 맹동면 용촌리 379 379-1 379-2 379-3 379-4) ,,130000,4,6728.8,2023-04-21
무궁화농장,육계,충청북도 음성군 맹동면 봉현리 678번지  ,충청북도 음성군 맹동면 용촌길 183-78,140000,8,6769,2023-04-21
